en,fi,position,score,rel_score,ratio_score,index,correctness,freqs
earn,ansaita,3,0.5848142612939018,0.0562166874702518,0.9123026936864246,5893,yes,516153
excessive,liiallinen,0,0.7074297175003574,0.0,1.0,6738,yes,283241
telegraph,telegraphin,1,0.5523089978752391,0.0616693743137986,0.8995577415961303,6056,no,17569
dubai,bahrainin,7,0.5801468509831984,0.1424708219200157,0.8028406621337949,7061,no,13630
belgrade,belgrad,4,0.7135238253728404,0.0771727098453403,0.9023990792826154,6231,no,218
easter,joulun,4,0.6088160001832696,0.0516123591641892,0.9218501773376522,7313,no,14774
paragraphs,johdantoon,9,0.6659030329635314,0.038736452221226,0.9450265660161392,7000,no,78042
tension,jännittävää,7,0.6059778919970693,0.0534367866109416,0.9189633043599456,7465,no,227922
crazy,tyhmä,5,0.534888471428985,0.0548517973365414,0.9069899068426176,5839,no,425394
bike,pyörällä,4,0.631313799744705,0.0188363754896997,0.971027654521652,7002,no,539581
motorcycle,moottoripyöräilijä,7,0.7223141437621112,0.0377890400518379,0.950284328685186,5866,no,173801
scouts,vapaaehtoisjoukkojen,6,0.4739109995735284,0.0171083614838115,0.965157460498154,6570,no,25786
wagner,schmitz,3,0.583606861149565,0.1107339254192332,0.840519342142576,6557,no,1247
fake,huijannut,2,0.531686337528926,0.0091253865262628,0.983126500184135,6817,no,254311
highlights,kohokohtia,0,0.6153040800645597,0.0,1.0,6957,no,227178
petroleum,öljyteollisuuden,3,0.6767418272194308,0.0164046510517734,0.9763330673010288,7660,no,64320
richards,harrison,3,0.6772630120998291,0.0292309331329785,0.9586253593109758,6769,no,1736
louisville,louisvillessä,1,0.7023995125737033,0.0040716139179249,0.9942366874381054,6431,no,8400
malayalam,hindin,4,0.5981492329245746,0.0349571850001498,0.9447846617718124,6722,no,1641
scorer,pudotuspelipaikan,6,0.7594962533682427,0.0541328707407182,0.9334673881051132,6891,no,24786
loose,puristaa,7,0.4472408784242572,0.049999617181659,0.8994458061571763,6504,no,321042
sends,käskee,3,0.6870293450195515,0.0390518079426612,0.9462156429989396,7615,no,157124
investigations,tutkimuksia,2,0.6683218040233541,0.0190893244001659,0.9722301202135836,6571,no,124155
compact,kompaktin,1,0.517381208719156,0.0611023930361139,0.8943748917848088,6280,no,220023
rulers,hallitsija,9,0.7438446649948274,0.082657921753055,0.8999907283069772,6256,no,52050
climb,kiivetä,3,0.6066665734706572,0.0365132179617831,0.9432301536084275,6948,yes,194236
announcement,ilmoitti,2,0.6692475522548205,0.054851387566815,0.924248766915297,6279,no,257805
espn,sportsin,2,0.6347152882660776,0.0650021393588932,0.9071023004535874,5965,no,3767
frontier,siirtokuntien,7,0.4655729931154717,0.0597141864303882,0.8863208759787085,5886,no,43612
suffolk,yorkshiressä,5,0.6684827825377884,0.0156573833156761,0.9771137785834522,7005,no,1212
defended,puolustaneet,9,0.6980963943996088,0.1371147639870842,0.8358322172659459,5919,no,62483
hearts,heartsin,4,0.5213953033510915,0.0646351444510556,0.8897068493736737,6230,no,273272
investigate,selvittääkseen,7,0.6587864073738858,0.1556821862843471,0.8088542793466209,5966,no,241373
divorce,avioliittonsa,7,0.752115079078709,0.0702492432153487,0.91457649449166,6512,no,266134
builder,rakennusmies,5,0.6039976355478781,0.1052708923321944,0.8515782271534903,7018,no,99079
engagement,tulitaistelun,2,0.4964819331973046,0.0073088356648095,0.9854923191996596,6171,no,320046
colombian,argentiinalaisen,3,0.7579471315265094,0.0305355835820189,0.9612729829114696,7260,no,700
sick,sairaaksi,6,0.5773745441505957,0.0773071157300799,0.8819164786987156,6598,no,422989
civilians,siviilien,8,0.7120862119250838,0.1056687896759905,0.8707818485131822,6285,no,102687
dorothy,kathleen,4,0.6482844589764916,0.0538036200986324,0.92336628166439,6763,no,3052
joy,kaipuun,5,0.5018693784769982,0.0453754548595418,0.9170838131391964,5860,no,370645
fiji,salomonsaarten,1,0.6811618255581731,0.0301433226629448,0.9576225158241448,7171,no,784
disabled,vammaisia,5,0.502935327044616,0.0399986773228151,0.9263286568882024,6626,no,210179
apollo,avaruussukkulalla,6,0.526389843687897,0.216373129966771,0.7086915508158204,6807,no,2219
canvas,maalaama,5,0.626380626263136,0.0515108290428591,0.9240131607506284,7288,no,116161
shuttle,avaruussukkulalla,9,0.6365073661693854,0.0485552244444154,0.9291229369262288,7686,no,83579
genuine,jonkinlaista,3,0.568122029005288,0.0279369096022001,0.9531306255259484,7701,no,377106
depot,rautatien,9,0.5815113772729557,0.0318626430508044,0.948053484505284,6009,no,32021
chains,ketjun,8,0.4408270993330729,0.126599800712676,0.7768879115486613,7624,no,126905
ahmed,mohamed,7,0.734716375124024,0.0630264010408796,0.9209940811449588,6038,no,1089
libya,libyaa,1,0.8128689980957773,0.0151071265914275,0.9817541519121282,7597,no,1274
pastor,saarnaajana,5,0.6671020778757634,0.0730711451905122,0.9012783184890094,6672,no,103447
aggressive,aggressiiviseen,3,0.7091022989189896,0.0390391062793273,0.9478185460555028,6451,no,250253
pipe,putken,0,0.5397400498527046,0.0,1.0,6268,no,186886
eighteen,neljätoista,0,0.7756907694751959,0.0,1.0,7386,no,61970
afghan,pakistanin,3,0.6916513675207265,0.0562053504894919,0.9248447608533432,7540,no,3899
creatures,hirviöiden,5,0.6561494746088958,0.0908285480905477,0.8784053274254177,6983,no,191788
sixty,kaksikymmentä,2,0.7425506240137306,0.0025405219030908,0.9965903206379338,7437,no,73456
pollution,saasteiden,1,0.7157120455069385,0.0032242732324461,0.9955152172057468,7529,no,197117
henderson,wilson,3,0.7003032456124019,0.0454012717463622,0.939116271003466,6199,no,7086
lens,kamera,8,0.5288720141800798,0.037535918513669,0.9337298855700096,6489,no,262820
trace,jälkiä,8,0.4287771676674218,0.0433570227795766,0.9081680088905912,6900,no,137102
climbing,kiipeäminen,1,0.6401579828173432,0.031275723831204,0.9534194909765308,7409,no,172651
drake,saunders,9,0.5465280095935716,0.0832461090362788,0.8678159254664343,7336,no,11569
bach,bachin,0,0.7594863486663531,0.0,1.0,6928,no,1550
sociology,yhteiskuntatieteissä,7,0.8046174531886048,0.0537771772813767,0.9373514519167796,7577,no,32293
lok,puhemies,4,0.4455062822695426,0.0680627599895127,0.8674710615536276,6842,no,1457
fairy,sadusta,4,0.5270624597145028,0.0375541223433411,0.9334873903163302,7215,no,71200
announcement,tiedotettu,7,0.6491778349691594,0.0749211048524761,0.8965319506324216,6279,no,257805
sailors,merimiestä,3,0.6358507855028245,0.0614912104030304,0.9118205833521432,6506,no,43357
krishna,singhin,7,0.5710032794269415,0.0707049393105269,0.8898176192138607,7290,no,1821
fraser,thompson,5,0.6132272468227915,0.1010268931809093,0.8585560971611788,6414,no,1085
sanctuary,suojelualue,0,0.5510175873250036,0.0,1.0,6481,no,64770
referendum,kansanäänestys,2,0.8122527086211818,0.0044942498106951,0.9944973779647446,6669,yes,55261
brass,puhaltimia,3,0.5705844687901395,0.0169860346384751,0.9710910698556896,6927,no,85995
unified,yhtenäisti,8,0.4800189175706601,0.0527830643023324,0.9009330556226898,6568,no,78099
cognitive,kognitiotiede,7,0.7294587554912737,0.0433985791589012,0.9438465843394692,7033,no,125332
automobile,auto,2,0.7081910363074659,0.0669806297479717,0.9135925206234492,6210,yes,330119
loaded,kuormattu,5,0.5476211465476475,0.0374201361735416,0.9360384689444644,7136,no,224915
shuttle,avaruusaluksesta,8,0.6374313523596113,0.0476312382541894,0.930471698634846,7686,no,83579
frog,pöllön,4,0.508489031487811,0.0243422555620469,0.9543152661007888,7094,no,37503
flooding,tulviva,9,0.6976582884208166,0.0854887666017759,0.8908394457292447,7271,no,88829
unanimous,äänesti,7,0.5691694506931204,0.071648009762492,0.888192794073446,7365,no,33985
cox,kelley,9,0.5943194305661168,0.0467494745530355,0.9270757415002892,6127,no,3786
communicate,kommunikointiin,8,0.6546343432057515,0.1194066840909149,0.8457359753811216,7376,no,374344
xbox,konsolille,7,0.7740451512339628,0.0591931843322244,0.9289600804408472,6919,no,43268
skill,taidossa,6,0.6632540731876029,0.0816269741916593,0.8904160946518239,6250,no,429058
focusing,painottuen,9,0.6067242892694865,0.0657524917930663,0.9022234021386232,5985,no,280834
staged,järjestettiin,2,0.5653599540688152,0.0246689456765468,0.9581902756166804,7360,no,56716
rhodes,rhodesin,1,0.5408720425924307,0.0922317410645494,0.8543181332264455,7152,no,1372
theodore,john,5,0.5167723805449013,0.1021016935503437,0.8350202443047724,6770,no,1392
referendum,kansanäänestyksen,1,0.8164669222538494,0.0002800361780275,0.9996571322670548,6669,yes,55261
posters,mainokset,8,0.5540366983600717,0.0232061092396036,0.9597983570620816,7352,no,136915
mcdonald,mcconnell,6,0.6107904137177624,0.1385528578897622,0.815100951540497,6329,no,1663
prevented,estäessä,5,0.639207891461409,0.1056665132897138,0.8581418389251553,6471,no,127603
molecules,molekyyliin,2,0.8153635205636087,0.027331543889518,0.9675665076936756,7512,no,96188
luxembourg,luxemburgista,3,0.7379079644239759,0.0742941857327889,0.9085274697703654,5986,no,651
santos,santosin,1,0.6902325757859875,0.0514414322503008,0.9306414520491272,6300,no,1714
telugu,telugun,1,0.660603902906589,0.0076096033226716,0.9886120180874332,6886,no,1902
ultra,extreme,5,0.3876296040853328,0.1152003525262141,0.7708960036857743,7522,no,68670
polar,etelänavan,6,0.5407105805066146,0.0386862176625756,0.93323018390019,7450,no,57706
informal,vapaamuotoisia,6,0.4863221091899715,0.0409743458535751,0.9222935305905076,7319,no,136439
forget,itkemään,0,0.6022582171585588,0.0,1.0,6395,no,726877
charleston,charlestown,4,0.7035875919363606,0.0219807139313279,0.9697055208261312,6745,no,8332
illustrate,kuvaavaa,4,0.5768854451223212,0.0572044279923265,0.9097849840885512,6276,no,119205
licensing,lisenssiä,9,0.6451835060784091,0.0414488415031573,0.939634592443617,6844,no,130623
greene,adams,3,0.6427500824732638,0.0262804104842543,0.9607186656499332,7264,no,1968
andrea,marcello,8,0.6051483137346136,0.1566897324990788,0.7943267164540972,6085,no,2138
kiev,harkovan,4,0.7139437129828634,0.05911201440683,0.9235346013069096,7513,no,988
ahmad,ahmed,5,0.7182862592176489,0.0331724655374364,0.9558559047295008,6299,no,716
outline,yksityiskohtaisempi,3,0.5002925328566941,0.0270662119105007,0.9486759019755152,6863,no,145869
explicit,täsmällistä,4,0.587029780525853,0.0095633580680388,0.9839700501910252,7241,no,100101
betty,bonnie,6,0.6388505223936554,0.0422623416097103,0.9379510447632634,6440,no,3717
detection,havaitsema,8,0.612943144108677,0.0873787324708721,0.8752306112474457,7436,no,148242
archaeology,arkeologiaan,3,0.7974981056537161,0.0493517225755224,0.941723171062434,6884,no,23743
baldwin,hayes,8,0.5666257397280083,0.0421485132847696,0.9307649542072782,7432,no,2009
defining,määrittele,1,0.6934939742454831,0.0524384754670863,0.9297007718496596,6184,no,116062
pin,kahva,7,0.4358525883775348,0.0305071734694566,0.9345844646874448,5936,no,142741
demon,lohikäärmeensä,4,0.6179222517530175,0.0658703433989634,0.9036691185807256,7160,no,56523
fusion,sekoitus,6,0.4742459582066448,0.083234149272738,0.8506957501155029,6203,no,76200
everyday,jokapäiväisiä,0,0.6843821124082743,0.0,1.0,7250,no,515693
theatres,teattereita,0,0.7230751667548807,0.0,1.0,7708,no,34249
carnegie,cambridgessä,9,0.4953107817265081,0.1729437783918471,0.7412007508617421,7383,no,847
girlfriend,poikaystävä,8,0.8202869365147986,0.0427412309375268,0.950475276996231,5970,no,208460
loved,rakasta,2,0.663475517102051,0.0650795914990669,0.9106730695718752,6254,no,845888
graduates,oppilaitosta,9,0.6783326140705559,0.0315795338008553,0.9555162791684254,7211,no,155458
edmund,frederick,9,0.5807809231181446,0.1268465182015726,0.8207439242816738,6109,no,518
santo,concepciónin,9,0.6071310358454741,0.1314921626588,0.8219766683133238,7355,no,890
lancaster,chester,8,0.623470113531881,0.058594566247263,0.9140923610554996,6510,no,7852
illustrates,heijastaa,8,0.5389580111569651,0.0966085390619594,0.8479961869788741,7564,no,81788
cubs,whl,9,0.5219028338699992,0.0913868436735553,0.8509891051165374,7632,no,13046
combine,yhdistelemään,0,0.6890995615546935,0.0,1.0,7630,no,255170
forbes,paulson,5,0.4765593128801605,0.237451814132498,0.667439616626187,6924,no,1948
browns,panthersin,8,0.6486597767958822,0.056283557939843,0.9201587487014924,7573,no,16316
avoided,välttivät,7,0.57263133393275,0.0977470660860733,0.8541912059169438,7301,no,171596
authorized,määräyksen,1,0.558794573919806,0.0011683197834354,0.9979135764234144,6277,no,207847
entities,hallinnoimat,7,0.5446303979204258,0.0918343853725131,0.8557117569060447,7168,no,185095
rosa,rosanna,4,0.5402002678873776,0.1359665058159771,0.7989157244871843,6641,no,8319
portraits,muotokuvia,0,0.816213328198603,0.0,1.0,6730,yes,59414
encountered,kohdattua,8,0.5405163822430017,0.0827835811804318,0.8671850055537489,6290,no,154785
henderson,mcconnell,8,0.6919539611191828,0.0537505562395812,0.9279197658209688,6199,no,7086
