en,cs,position,score,rel_score,ratio_score,index,correctness,freqs
tribune,news,1,0.4820993273555204,0.0200413321612246,0.9600882107803972,6674,no,3120
sculptures,reliéfy,3,0.682483739094885,0.0586313899772426,0.9208876088514766,6648,no,53343
intensity,amplituda,9,0.5364106640874287,0.1451181631679621,0.7870696625520996,6997,no,195730
outline,nástin,0,0.4724117519102989,0.0,1.0,6863,no,145869
charleston,greenville,3,0.55510226976459,0.05270633838097,0.9132846463925898,6745,no,8332
barnes,fullerton,8,0.5542117373681327,0.0193132575323865,0.9663253429159848,6704,no,3001
agenda,populistické,8,0.5213043944131345,0.053972747253058,0.9061795726895472,6574,no,282725
dying,smrtelné,3,0.6100973119306119,0.0449401907725658,0.9313929498889624,5979,no,211988
henderson,buckley,6,0.6111934698220196,0.0417523254399592,0.9360554494064748,6199,no,7086
imprisonment,odsouzený,5,0.7007699511506766,0.0483160695522744,0.935499971676238,7004,no,55188
elimination,eliminační,0,0.5163025154595732,0.0,1.0,6766,no,108822
marion,claudette,7,0.5285069077874378,0.03209416909002,0.9427504326806072,6441,no,1539
redirected,redirect,8,0.5422083417142577,0.0674957013224193,0.8892975992315028,6895,no,19934
lecturer,universitě,4,0.6967263533155763,0.0317175363114692,0.9564585045421848,6691,no,41066
loaded,spouštěn,7,0.4546635525821518,0.027663740810814,0.9426452925435518,7136,no,224915
picks,nuggets,6,0.4881776772353262,0.0185151622153489,0.9634588042818566,6470,no,148455
hybrid,hybridní,0,0.5665520294308668,0.0,1.0,5891,yes,170137
focusing,soustředí,1,0.6522612982932299,0.0126699107077559,0.9809455316034998,5985,no,280834
exile,emigraci,2,0.5907372858520304,0.1407434743075911,0.8075910099441597,5636,no,44353
casting,střihače,2,0.4463546584664517,0.0218212905919771,0.9533908338609384,7087,no,110749
exceptions,výjimka,4,0.5762991558159473,0.0525374908139916,0.9164528799402032,6706,no,120147
currency,dolar,6,0.6143654235143354,0.0522042034561933,0.921682294926256,5672,no,346161
balls,kuliček,4,0.5233304026392965,0.0174405931774085,0.9677486527341048,6035,no,222970
ist,ein,9,0.5563154406006372,0.0170194277965376,0.9703150309972992,7165,no,13938
galaxy,galaktické,7,0.5658048090552907,0.06707889292709,0.8940107120518684,5710,no,59252
lacks,nedokazuje,6,0.5083057762791354,0.1067282822867985,0.8264676877640641,6155,no,92365
joshua,jonah,4,0.51052640497411,0.0405143755078413,0.9264766294204094,7045,no,3272
maxwell,snell,6,0.5101901955739799,0.0510077002064083,0.909109245437426,7247,no,916
chef,exmoderátor,6,0.4445274919499899,0.1539370652635683,0.7427799801874702,7380,no,116759
dorothy,elizabeth,1,0.5820065521299163,0.003502246930928,0.994018455509899,6763,no,3052
cannon,děla,6,0.5567404270696603,0.0168345751661175,0.9706497404864284,6058,yes,31463
informal,debatní,9,0.4725520530424756,0.1949235884728504,0.7079689859088667,7319,no,136439
wagner,schumann,1,0.5669748488603419,0.0803652137610069,0.8758531745500583,6557,no,1247
reforms,reformám,5,0.6211889524146318,0.0970475910134973,0.864880738941114,6255,no,131298
maxwell,elwood,3,0.5240301600882554,0.0371677356921328,0.9337707144456622,7247,no,916
dos,portalegre,5,0.5140833604625555,0.221515980978073,0.6988632690395741,5810,no,17467
curve,úsečky,9,0.5092000587951949,0.0206738213431415,0.9609835054754085,6147,no,154360
elevated,prelátem,6,0.4198502011648297,0.0261799234155785,0.9413045846618396,6014,no,142421
drag,aerodynamicky,9,0.4306091731620024,0.0273162758120809,0.9403477664906392,7246,no,165761
promise,předsevzetí,3,0.5240859034090194,0.0219976194226786,0.959717481844882,5807,no,417434
switched,vyměnila,3,0.4667148767715668,0.0588592789525063,0.8880095638047173,5799,no,120437
kitchen,ložnice,6,0.5673631482284432,0.0252375119479845,0.9574122783790506,5862,no,756155
searches,dohledání,0,0.5981975737294449,0.0,1.0,6719,no,155715
voluntary,dobrovolnou,1,0.6207011249304046,0.0362179954643988,0.9448668879623536,7265,no,152096
performers,tanečníků,5,0.6094906685630304,0.0653421908404504,0.9031727783703216,5947,no,107213
cites,zmínil,4,0.5346206289730157,0.0403983627670095,0.9297442982800224,6636,no,41017
relatives,nežili,9,0.5538730234908454,0.1592270314129585,0.7767115142987361,5917,no,196489
strait,ostrovy,5,0.5961299989488744,0.0861186523957531,0.8737723376572105,7363,no,8895
espn,nba,3,0.5588254881760186,0.0708131505527104,0.887533664236862,5965,no,3767
geology,mineralogie,4,0.6337164079647969,0.091607521497134,0.8737012281325235,6442,no,29529
pursuit,snažení,8,0.4380900502540558,0.0602779351539718,0.8790493432185041,6235,no,146544
skiing,lyžařských,8,0.6431765573622787,0.1355050106514915,0.8259814843221057,7278,no,114536
remarks,námitky,9,0.4923333167376726,0.0448083375856105,0.916580035778342,6311,no,133993
lover,zamilované,7,0.590539921620663,0.09008041936879,0.8676495338975095,6027,no,173040
reflects,odrážejí,5,0.5694038579043244,0.0854865039575576,0.869464403607169,7107,no,198962
santos,márcio,4,0.613542525044155,0.0290460618354083,0.9547983539881136,6300,no,1714
widow,dcera,5,0.6409968399725193,0.0535498569115067,0.9228995585872776,5828,no,52867
speedway,závodů,1,0.5049612908540324,0.0280914783456316,0.9473007552557906,6468,no,6178
busy,spěchat,4,0.4525302350863564,0.0441430249130874,0.9111226062117036,6550,no,607913
anton,ludwig,8,0.5081296715227969,0.1520849634794083,0.7696431502477973,6811,no,663
tight,upnut,3,0.4174514690762542,0.0275246033517696,0.938143632754047,6791,no,402805
drag,vztlak,0,0.4579254489740834,0.0,1.0,7246,no,165761
reynolds,mccullough,1,0.5921344584905607,0.0215355367834061,0.9649069745152004,6511,no,1702
quest,dungeons,9,0.4791057583358758,0.030718643498637,0.9397466198398872,6073,no,180078
arbitrators,arbitři,3,0.6018212385616499,0.0303841395097648,0.9519394479014814,5946,no,7500
plains,lesnaté,4,0.5499505685150254,0.0433369200655096,0.926954603123024,5918,no,41195
disruption,zablokován,5,0.6227023601917525,0.0559985686096967,0.9174915397440412,6228,no,60849
rapper,hopový,5,0.6248924598101004,0.0971561236698457,0.8654437860654787,6632,no,31472
armoured,obrněnce,5,0.6358609187015805,0.079725853984865,0.8885867416392292,7102,no,9377
hostile,nepřátelsky,1,0.5897117697052036,0.0174404473545186,0.9712750001326222,7384,no,86068
invitation,pozvánek,3,0.5774805951437925,0.0943358118347776,0.8595809645985814,7080,no,154220
manuscripts,rukopisy,1,0.7424711967804792,0.013858358474622,0.9816768254283706,6567,yes,44759
avoided,nevhodné,4,0.5008395546531822,0.054126553785709,0.9024687220306732,7301,no,171596
copied,zkopírovat,3,0.6220776614628876,0.0316237572925255,0.951623544962264,5940,no,82587
ashley,harrington,8,0.5536609530859656,0.0427302092055873,0.9283520415671448,7192,no,7593
mechanisms,mechanismech,2,0.7016727235419771,0.0529532262088336,0.929828511428318,7350,no,187087
entrepreneur,filantrop,3,0.5852589277525174,0.1646242283927971,0.780466827340104,6804,no,108276
dynamics,dynamics,3,0.5710985664941886,0.0357735863475527,0.9410525162836368,7170,yes,127569
vernon,millington,2,0.5913207732169543,0.0042693862797814,0.9928316708869248,7394,no,1948
prizes,oceněny,7,0.563140672678113,0.051898658553886,0.9156173338541996,7385,no,140726
edmonton,calgary,7,0.584946673974083,0.0523334819019855,0.9178799442922512,5669,no,4586
franco,dominguez,2,0.5281188032635599,0.0856725347800927,0.8604207497401996,5978,no,1134
grid,positions,2,0.4509872964244467,0.0188837780698957,0.959810724483907,5688,no,166663
anthology,antologio,4,0.6219370457390937,0.0571262985048477,0.9158748605868996,6181,no,27412
midnight,půlnoc,1,0.6078666951344638,0.0015626767425332,0.9974358361860368,5942,yes,115301
observations,pozorovány,5,0.604386754108607,0.1340173017649006,0.8185041093709018,6317,no,156403
spots,zbarvují,9,0.4849759791491274,0.0637819019215216,0.8837704129240376,6070,no,340056
suburbs,předměstí,0,0.6893769619811698,0.0,1.0,5788,yes,60746
philosophical,filosofické,0,0.77869212101686,0.0,1.0,5752,no,89098
autobiography,autobiografie,1,0.6562248834656402,0.0026266657546095,0.996013266178522,6609,no,24649
antarctica,antarktidou,4,0.6154597094569021,0.031327899389038,0.9515638534805324,5767,no,1133
myth,mýtus,0,0.6428025480307374,0.0,1.0,6966,yes,112435
beast,nestvůra,0,0.5665294908794289,0.0,1.0,7145,no,93519
connor,mcglynn,4,0.5397150808352176,0.0249718354088251,0.9557775562165972,6074,no,1107
separation,separace,2,0.5214394435402554,0.0092867897629691,0.9825017321921916,6139,no,164622
plateau,předhůří,2,0.6010711787682583,0.0214053912127639,0.965612535081575,6991,no,35516
tune,píseň,8,0.5496774370844091,0.0354392292741378,0.9394321999154585,6782,no,197728
spy,kontrarozvědky,6,0.5260033808071092,0.0600111891803916,0.8975943734954037,6141,no,90489
sprint,triatlonu,9,0.5545265052076757,0.0518590750851907,0.9144783834402126,5635,no,47235
configuration,konfigurace,1,0.6882838948766239,0.0085257182570706,0.9877646374327004,6248,yes,215656
arbitrary,bijektivní,3,0.566998522764087,0.0714384712018111,0.8881041169653352,7277,no,70229
brass,pozounu,7,0.5329757860816815,0.0419192461213362,0.9270836521917744,6927,no,85995
trails,cykloturisty,2,0.5949758486595568,0.0088006199029014,0.985424042901415,6937,no,153999
newfoundland,kanada,3,0.5600840109443042,0.0739176787538488,0.8834109120607535,6102,no,1983
bow,příďovou,9,0.4660932223025456,0.036911359773592,0.9266182434735656,5873,no,133731
outline,náčrt,8,0.4546234056479937,0.0177883462623052,0.9623456736832344,6863,no,145869
saxophone,kontrabas,5,0.7085961484797418,0.03011985156709,0.9592267507876092,6043,no,15308
witnesses,výslech,7,0.5593544248275388,0.0818284581527584,0.8723789104094457,6949,no,128917
laser,laserem,5,0.5955557648722959,0.0260982729180779,0.9580180110936906,6115,yes,285707
lon,gamble,9,0.380184837395441,0.0303449392103727,0.9260834635157058,6467,no,4702
baroque,klasicistně,5,0.7120512933121512,0.0494812659714867,0.9350240966479056,6350,no,12336
andré,antoine,1,0.5985514131945171,0.0496072887765205,0.923464286407533,5874,no,0
upgraded,vylepšeny,4,0.547699691500771,0.02347986719396,0.9588923188224442,7072,no,102777
alexandria,konstantinopol,7,0.5067684596531539,0.0972558784930448,0.8389868216377981,6543,no,7066
highlights,komentuje,9,0.4343127891594368,0.0292847963545499,0.9368314303835682,6957,no,227178
gerald,gerald,0,0.5644982954797764,0.0,1.0,6494,yes,986
succeed,protikandidát,5,0.5039213775629421,0.022343597512531,0.9575430656214076,6913,no,293207
silva,vieira,6,0.6061697689194987,0.0273335686515951,0.9568533154751884,6572,no,1156
derek,kevin,0,0.5703153062043778,0.0,1.0,6573,no,2146
terminology,termínů,9,0.5535225708517788,0.121186528464501,0.8203869955402913,6614,no,74937
passion,rozjímání,9,0.4760399143011988,0.0575887388295893,0.8920808721725915,5848,no,412537
algeria,tunisko,1,0.6568581762659883,0.0860198104920618,0.8842073502979193,6135,no,578
taste,chuť,0,0.6920917779591994,0.0,1.0,5757,yes,618741
batman,batmanovi,9,0.45060476187952,0.1072182231894478,0.8077916721624663,5963,no,12095
complement,palub,3,0.468098846548141,0.0424255480449493,0.916898098319544,6544,no,144296
gibson,garrison,8,0.5564506993142444,0.0219578769676033,0.9620374284407158,6001,no,2531
invitation,pozváni,5,0.5613650244214232,0.1104513825571469,0.835592906916502,7080,no,154220
suite,suity,2,0.5100642600487264,0.0831363155766511,0.8598512560629172,5880,no,186778
fossil,fosilních,0,0.652537126852506,0.0,1.0,5972,yes,100663
exile,exilem,5,0.566277268952714,0.1652034912069075,0.7741519665249195,5636,no,44353
gif,png,0,0.6041327058550239,0.0,1.0,7194,no,21484
maharashtra,indické,6,0.4486472476393824,0.0334945012352802,0.930529763677471,6713,no,742
diet,diety,6,0.499039701331523,0.0457633540499756,0.916000188328735,5845,no,1259119
consist,skládajících,7,0.5367720960215919,0.0516681523099646,0.912194734373689,5834,no,201673
lang,yuen,4,0.4435914575443752,0.2114989965180851,0.6771453541926905,6478,no,12310
armoured,obrněných,1,0.6681598791811938,0.0474268935052517,0.933723071309434,7102,no,9377
ussr,sovětský,3,0.7152613793135589,0.099478965403144,0.877901019572396,6114,no,833
dubai,jumeirah,8,0.5398264514964559,0.1209379500391263,0.8169726611208582,7061,no,13630
consist,skládající,6,0.5408370757794994,0.0476031725520572,0.919102793041384,5834,no,201673
suburban,předměstská,5,0.6169504603802166,0.051612222955777,0.9228012208245868,6459,no,61497
strategies,strategiích,4,0.6205219442146874,0.0608955716033621,0.910633979623702,7029,no,719011
cyclists,cyklistické,2,0.592579891122952,0.0319894042647044,0.9487816572141138,5786,no,51139
legally,zákonně,2,0.577314628028486,0.030753206194341,0.9494247114162075,6814,no,179044
beaten,poražen,6,0.551642067753386,0.0336969512552873,0.9424317358641896,6507,yes,123912
midnight,dopoledne,9,0.5328761474307251,0.076553224446272,0.8743854038237544,5942,no,115301
willie,johnnie,2,0.5863885896649443,0.0484030367165015,0.923749723996176,6589,no,1672
blair,mcavoy,3,0.5321539610818762,0.0126421700904482,0.9767946771882464,6772,no,3735
births,porodností,7,0.4665795252894914,0.0605320341943844,0.8851627646837138,6421,no,34762
header,hlavičce,1,0.5316003107151834,0.0163705342910528,0.970125172825816,5913,no,102354
inventor,vynalezl,3,0.6492268448895746,0.1398912041897614,0.822724617244565,6975,no,40147
alias,pseudonym,1,0.4493299691344598,0.1185522692303902,0.7912379341679228,6929,no,24360
searches,hledání,8,0.5511807219443985,0.0470168517850464,0.9214024699366108,6719,no,155715
decorated,zdobena,5,0.6223158146550977,0.0563078234268422,0.9170264337004372,5900,no,124112
geological,geologickém,7,0.6170972225717468,0.0916629038318381,0.8706714720296735,6183,no,35650
delayed,odložen,0,0.604997092652408,0.0,1.0,6288,no,135808
rhodes,rhodes,0,0.5198780402796848,0.0,1.0,7152,yes,1372
chest,stehně,5,0.58666800369945,0.0518028191731277,0.9188642341711732,7289,no,334504
joel,killian,2,0.5097482685147541,0.0088219585096528,0.9829879193792636,6378,no,2747
keys,klíčů,5,0.4980011507805149,0.0740045624559658,0.8706226865510859,5721,no,258752
drag,vztlaková,5,0.4331522648987668,0.0247731840753165,0.9459012725088388,7246,no,165761
philosophers,myslitelů,2,0.723296558489052,0.01334339126059,0.981886142252908,7075,no,39041
treasury,pokladnice,3,0.5282513954163712,0.042363846657571,0.9257575971794992,6847,yes,37539
hybrid,hybridy,6,0.5098703424103967,0.05668168702047,0.8999532539360772,5891,yes,170137
estates,majetky,1,0.6212577587575223,0.0026645298995485,0.995729388181846,6211,no,43551
ceiling,stropní,2,0.628420334547166,0.0010348295073153,0.9983559917109112,7158,no,199124
insert,vložit,0,0.6703602138599162,0.0,1.0,7316,yes,147613
consent,oprávněn,9,0.5327336529025826,0.1180872121428703,0.8185565053532462,6862,no,206529
stretch,úsekem,1,0.5079914133036127,0.0161458935902696,0.96919529791544,6426,no,309489
southampton,portsmouth,5,0.651184880584481,0.0947643650357431,0.8729613769406648,7235,no,1535
alto,marimba,9,0.4926403964268748,0.1030795102698623,0.8269664835586282,7370,no,8160
slavery,otroků,3,0.5588438921249325,0.0892305115839016,0.8623144023691592,5903,no,92619
nat,nat,0,0.4113453237040316,0.0,1.0,6893,yes,6165
discrimination,homosexuálům,8,0.5660362125395959,0.1562234582976439,0.7837018116814546,6063,no,170631
arcade,videohry,5,0.5372739205955852,0.0439079893394256,0.9244505229966028,6479,no,45634
xbox,gamecube,3,0.6665734830516816,0.0699623800986588,0.9050115770338556,6919,no,43268
armor,pancíři,6,0.5455477420721142,0.044827823724273,0.9240689718182992,5906,no,78590
allegedly,údajný,7,0.5725148205763603,0.0928838518348642,0.8604087208375719,6214,no,115125
unused,nepoužitelným,9,0.4432822808151129,0.0443061148191488,0.9091321384679084,6718,no,59608
archaeology,archeologii,1,0.7268140276774099,0.0608495686627422,0.9227467551560368,6884,no,23743
diving,plavání,3,0.5578426840276658,0.0794347005521807,0.8753530213463457,6525,no,138266
fever,chřipka,0,0.5903303136722433,0.0,1.0,7108,no,131504
trace,identifikovat,5,0.4187707753946552,0.0804501810282052,0.8388485499393566,6900,no,137102
lon,daugherty,5,0.386552295912228,0.0239774806935857,0.9415938086347176,6467,no,4702
maharashtra,arunáčalpradéš,1,0.4769873044827029,0.0051544443919597,0.9893092759463572,6713,no,742
secular,náboženský,5,0.5873511561131615,0.0379864503629298,0.9392544923421584,7098,no,99134
provision,bezplatného,9,0.5737675945781539,0.0742962885096746,0.8853565359086588,6575,no,292202
delegates,delegáti,2,0.5728486283072131,0.0918820478794271,0.8617755262830252,6771,yes,98685
cameras,videokamery,0,0.7125814098567401,0.0,1.0,7013,no,310539
diploma,magisterského,6,0.6541820678575584,0.0351517432503954,0.9490062105122964,7223,no,80053
sec,absmag_v,2,0.352020623515792,0.0021743509108493,0.9938611469166972,6661,no,54103
colleagues,kolegů,3,0.5143109831388706,0.0695783139917403,0.8808364627787033,6549,yes,315784
communicate,komunikují,1,0.6398919640681159,0.1193271211410156,0.8428291339539413,7376,no,374344
graves,pohřebiště,8,0.5646613946553135,0.0856732094108121,0.8682628774862164,6977,no,29787
insufficient,nedostatečný,2,0.7046408194964255,0.0216950539242259,0.970130824157075,7172,yes,91949
trumpet,altsaxofon,3,0.6490791341987437,0.0209225485699945,0.9687723939982756,6848,no,34393
fossil,zkameněliny,8,0.5673409478880935,0.0851961789644124,0.8694385722152642,5972,no,100663
surrey,staffordshire,8,0.5840459176550705,0.0320186321818639,0.9480271471709596,5818,no,2459
garage,garáží,3,0.5670701448195864,0.0442248229644806,0.92765387366954,7403,no,249509
compromise,kompromisním,6,0.636002601159225,0.0841668839658849,0.8831290609997684,5796,no,162141
garage,čekárny,5,0.5203582169712897,0.0909367508127773,0.8512391634067897,7403,no,249509
bigger,štíhlejší,5,0.548897861487163,0.0607053342944723,0.9004182807528827,6100,no,606587
casino,grandhotelu,6,0.4888892373027316,0.075149006105504,0.8667661156246932,6756,no,453078
norton,hogarth,6,0.4908040060997534,0.0695723146379403,0.8758471547363857,6851,no,2774
disabled,handicapovaným,3,0.4759944916670993,0.0105286429722196,0.978359419680988,6626,no,210179
measurement,veličiny,9,0.5985566164826532,0.0471874432601044,0.9269254706285608,6541,no,179748
informal,formální,8,0.4789952840324796,0.1884803574828465,0.7176221186814369,7319,no,136439
threw,povalil,9,0.5059461497572986,0.0414598229428511,0.924261288676948,6667,no,174050
limestone,kvádrových,9,0.6325872019248777,0.0411528764412718,0.9389187644275676,7176,no,37104
vale,southgate,3,0.4483008677939687,0.0049212784146546,0.9891415755919628,6729,no,4054
darkness,temnoty,1,0.6471871374812607,0.0062635442991754,0.9904146640690475,6866,yes,168890
mask,mask,3,0.4561749106257073,0.0412467030547544,0.9170789890902272,6761,no,153562
philippe,bourgue,8,0.603058867043226,0.0936352677358873,0.8656006085574778,7261,no,1823
compensation,odškodné,2,0.6177413523687787,0.0201167635314019,0.9684620089798308,6861,no,347995
destroyer,torpédoborců,2,0.7297224744424597,0.0136131080367229,0.9816864571566448,6237,no,11629
bang,hangover,5,0.4175027122688621,0.0501933584763819,0.8926795378109506,7150,no,78568
terminology,pojmu,7,0.5750100279712269,0.0996990713450529,0.8522339902543429,6614,no,74937
muscle,svalu,1,0.6491860175393588,0.0105255581515802,0.984045212272414,6078,no,637216
emmy,awards,6,0.6252657866813012,0.102966323528878,0.8586078228558744,6638,no,950
governance,institucionálně,7,0.5594353477656839,0.0606154074305078,0.9022412166705152,7092,no,152407
redirected,přesměrováno,5,0.5652846971190236,0.0444193459176534,0.927146053195876,6895,no,19934
copyvio,smazaný,3,0.6124436082674669,0.0141900185180632,0.9773551595198388,6326,no,13
extraordinary,mimořádnými,4,0.4789855014633534,0.0769226522824104,0.8616270479860783,6401,no,264752
unified,sjednocenou,2,0.4544437454139579,0.012717502737406,0.9727770597674116,6568,no,78099
leicester,manchesteru,2,0.6377356051932119,0.0412651611415575,0.9392266353920248,6987,no,1493
antarctica,antarktická,7,0.5728984557650082,0.0738891530809319,0.8857597887306902,5767,no,1133
obscure,neencyklopedické,3,0.5281567638835938,0.0192652196630465,0.9648073693748452,6693,no,75480
maintaining,udržet,9,0.551071767043851,0.1354937330833486,0.8026499539253781,5663,no,352470
aids,rakovině,4,0.4947519890839041,0.0814370531333523,0.85866261388802,6204,no,142028
bulk,materiálu,0,0.5241673350661676,0.0,1.0,6784,no,208183
pin,jednočipový,3,0.449682594283779,0.0182318440812672,0.961035944637717,5936,no,142741
synthesis,syntéza,3,0.6199674895379536,0.0308883073349897,0.9525420108672404,6168,no,67281
vulnerable,statuszranitelný,9,0.5778194837766322,0.0508245685163306,0.9191520728925228,7058,no,231732
naked,okem,9,0.422099787782593,0.0614968664739379,0.8728343839175612,6810,no,176179
jeremy,matt,1,0.560116467572636,0.0039142962703007,0.9930601369265192,6015,no,4991
fringe,věrohodné,6,0.4621709612184266,0.0570571512217523,0.890111590927531,5847,no,46715
agrees,chce,2,0.6934745620380621,0.0488854634680457,0.9341485777945576,6298,no,118945
honored,oceněn,1,0.5890973146920742,0.0117307305730389,0.9804757273474762,6656,no,141792
colored,odstínech,1,0.6197481693410059,0.0003265925473928,0.9994733013380545,5987,no,211958
console,gamepad,7,0.6175901908462051,0.072477313667938,0.8949706902675162,7206,no,165116
coin,mincoven,4,0.5351378181364601,0.1503194121964731,0.7807019817655705,6172,no,126345
platinum,platinový,1,0.669538543335858,0.0180992108472544,0.9736791490328284,6176,no,138378
accomplished,vynikající,2,0.4553987486447999,0.0130053266498998,0.9722348131968804,6608,no,293551
squadrons,perutí,1,0.6941371498828436,0.0011932273992804,0.9982839417947704,6789,no,6859
heir,dědicem,0,0.7047701701424334,0.0,1.0,6274,no,34885
firing,vystřeleno,5,0.5769190330100222,0.0361104995676395,0.9410950082358962,5879,no,105682
tang,čou,7,0.6795985600206337,0.0597007061784066,0.9192469018867746,5974,no,9674
distributor,distribuční,7,0.5241852739817847,0.1100834826408205,0.826440319673004,7167,no,74252
traveling,cestováním,7,0.5324292816288777,0.0721674902406769,0.8806353364780328,5771,no,326384
liked,obdivoval,4,0.5981349313937372,0.0693500071829456,0.8961025138172786,7205,no,405357
cox,buckley,0,0.5402760655376473,0.0,1.0,6127,no,3786
garcia,álvarez,4,0.5825848688639179,0.0205077220004008,0.9659957321461862,7011,no,1943
algorithm,polynomiální,8,0.6200728034317771,0.1046746550560278,0.8555708559855693,6024,no,99003
julie,isabelle,5,0.5824551492904715,0.0257636252460755,0.957640858314992,6453,no,2984
pronounced,výslovnost,5,0.55351051043464,0.0178737890407799,0.968718445611492,5791,no,120440
cooperative,neziskových,3,0.4876369815512928,0.0628944351524962,0.8857568646507665,7329,no,90412
wednesday,sobotu,1,0.6720904010338378,0.0007986028059323,0.9988131730473002,6291,no,14746
bradford,westchester,9,0.5802304174663887,0.0331791510172273,0.9459102812835996,5908,no,1445
