en,es,position,score,rel_score,ratio_score,index,correctness,freqs
cites,referenciada,8,0.577123497988472,0.0646032557740685,0.8993290284450665,6636,no,41017
inns,dowlen,1,0.4433511821698615,0.004726508707895,0.989451586624105,6314,no,12477
clarify,aclararme,8,0.6688725484818254,0.0661181331257727,0.91004221579904,6569,no,113296
memphis,cincinnati,5,0.5764065403155705,0.2060300373792233,0.7366814854358844,5996,no,10784
wet,humedecido,5,0.5950710197374461,0.0526543196248684,0.9187088779378206,5856,no,341579
santos,marquinhos,5,0.5787617940203296,0.0407430681746527,0.9342328516514058,6300,no,1714
occasional,frecuentes,7,0.5672032137730334,0.1600070442208847,0.7799714147841093,6096,no,167904
naked,desnudar,4,0.5289683374944962,0.0478195698182182,0.91709332111172,6810,no,176179
sustained,gravemente,5,0.5054422348746836,0.0268476022093127,0.9495620612326736,6258,no,156637
maker,fabrica,2,0.543062319107283,0.0833447516032437,0.8669479392869772,6365,no,197567
duck,pollo,3,0.4935672019644357,0.1471292981726737,0.7703603841425887,5993,no,78432
convince,persuadir,7,0.7580175519825773,0.0913455489765212,0.8924540648476793,7040,no,173397
measuring,diámetro,5,0.5930144661217268,0.0951413382672524,0.861744480449846,6879,no,153363
arrangements,instrumentó,7,0.5646057275943601,0.1127220207415278,0.8335783215459988,5923,no,266099
negotiations,negociaron,6,0.7075106305021882,0.162233325482504,0.8134700168179618,5602,no,192398
travelled,viajaron,1,0.7281085542670731,0.0933594435338951,0.8863504801357885,5877,no,71734
tracking,telemetría,8,0.5639710049155888,0.0647035430073901,0.8970794296967194,7099,no,260366
fork,fork,0,0.5798531938304452,0.0,1.0,5660,no,85598
yeah,dices,4,0.6347784255472124,0.03206048305667,0.9519216970650484,5802,no,206356
everybody,piensas,1,0.6192240692025952,0.0201536497133679,0.9684792742738398,6339,no,424749
joy,gloria,2,0.5581318844392567,0.0682724116979031,0.8910090302398661,5860,no,370645
performers,intérpretes,1,0.675607097050843,0.0043415887416116,0.9936148288358676,5947,yes,107213
georgian,georgian,5,0.5695826196702701,0.1419053174287018,0.8005513375148594,5716,no,633
anton,nikolaus,6,0.5038746457478872,0.1676461399112346,0.7503485469229609,6811,no,663
thriller,película,2,0.638107114660204,0.1076574661994843,0.8556414866533605,6187,no,45823
disabled,discapacidades,5,0.5709905241175436,0.0673396634408068,0.8945065347788346,6626,no,210179
slovakia,checoeslovaquia,2,0.7455969506595198,0.1123927547215223,0.8690045416435299,6013,no,576
portraits,autorretrato,5,0.7001824082807824,0.1797262919281953,0.7957443858828643,6730,no,59414
timber,maderas,1,0.6645292682980024,0.0302306998929203,0.9564875622128348,5488,yes,102271
mediation,proponente,8,0.5713876782789598,0.1295116949885766,0.8152207008192865,6164,no,66004
governorate,gubernia,2,0.5750933155516297,0.0170804111539834,0.971156418490558,7034,no,1514
snake,glyphis,5,0.5005361769454812,0.0949738486888696,0.8405167929999141,5864,no,81717
andré,jacques,3,0.5652796136921714,0.1707207664948969,0.7680425566471786,5874,no,0
screenplay,largometraje,5,0.6843776196933625,0.1209489575529561,0.8498137762117313,6075,no,28645
concerto,piano,5,0.7430877679471363,0.0349102397449463,0.9551281116406622,6778,no,7740
connects,conectaba,8,0.6813478211440052,0.1719361302562529,0.7985006867009488,6089,no,104273
retain,despojar,9,0.5592296735352886,0.1546647163232644,0.7833507049216218,6044,no,261676
annie,kellie,4,0.610370753918142,0.0986000465275415,0.8609250952711196,6737,no,3876
approached,convenció,2,0.6393766626011401,0.0864452711426814,0.8809001669365475,5925,no,166727
monk,benedictina,7,0.544865560493585,0.2271688547085472,0.7057529428282412,6400,no,37008
legally,legalmente,0,0.8243195983948637,0.0,1.0,6814,yes,179044
ethnicity,étnicos,5,0.669153717750501,0.0577120222559675,0.9206015374236046,6764,no,40109
colours,franjas,7,0.5600843635125106,0.2228242993727979,0.7153891508217475,5520,no,223886
aids,cáncer,5,0.5109677859412626,0.1315121410545782,0.7953054476433011,6204,no,142028
outbreak,brote,9,0.5530469646751385,0.0966947159409188,0.8511797552386711,5713,yes,69050
lessons,enseñar,9,0.5864843614741879,0.2077265335778688,0.7384491513878648,6402,no,407521
discography,discogs,6,0.5782356144787306,0.1950738203393693,0.7477415746450123,6264,no,6644
complement,complementados,1,0.5478255244020663,0.0727352418535814,0.8827911047415181,6544,no,144296
colleagues,investigadores,3,0.5729950998720388,0.2270053927950794,0.7162434337530629,6549,no,315784
pipe,cañería,4,0.5092010412255816,0.0506847002357491,0.9094731362448,6268,no,186886
hydrogen,dióxido,9,0.7326366071892652,0.1415875591507081,0.8380420439033635,6156,no,100436
latvia,polonia,5,0.643086495631263,0.1563222678402053,0.8044526467768893,6885,no,314
thrown,golpeado,0,0.6704412436150953,0.0,1.0,6522,no,227978
retain,reteniendo,4,0.5772203511199581,0.1366740387385949,0.8085514598795561,6044,no,261676
trick,patear,3,0.4920331544645298,0.0722480532809033,0.8719644526714472,6146,no,219033
thermal,isotérmico,8,0.6567377310908649,0.0942154247649171,0.8745388789830042,6643,no,122186
fraud,fraudulento,2,0.6717822758855615,0.1122946066466271,0.8567811280394214,6477,no,275541
binding,alostérica,8,0.5854182467836648,0.0226640558474311,0.9627286376377564,5649,no,147712
enjoy,disfruten,6,0.6927565612436832,0.1068205803249214,0.8664036591699438,5723,yes,1830928
illustrate,relacionar,8,0.5238268073413418,0.1741485909095993,0.750494657338928,6276,no,119205
sue,cindy,5,0.5022907412631996,0.0706811530543787,0.8766411515898848,6980,no,70715
thrown,arrojado,2,0.6433943124175916,0.0270469311975036,0.9596580140987993,6522,yes,227978
alexandria,constantinopla,8,0.5355825447208273,0.1926240902522151,0.7354815501518386,6543,no,7066
brooks,conley,2,0.6141488750040445,0.0363835762720881,0.9440710817719924,5764,no,5368
bots,toolserver,6,0.5301523200386324,0.1068249670016654,0.8322939150655976,6954,no,23643
pull,tirar,3,0.6718361138056681,0.0270626478961686,0.9612781573252892,6160,yes,544378
agenda,políticas,3,0.5684581722152218,0.0318021301475524,0.9470194346979612,6574,no,282725
dirty,trapos,7,0.5093946288699883,0.0968096017822158,0.840302002382827,6917,no,231623
convince,convencerle,2,0.7892538656763217,0.0601092352827767,0.9292302253124703,7040,no,173397
yankees,diamondbacks,7,0.6146747401039334,0.1703122305167745,0.7830381434457382,6455,no,3076
committees,comités,0,0.7229023157742083,0.0,1.0,6503,yes,108685
fossil,microfósiles,2,0.6769912473934132,0.1380060680932467,0.8306668433492458,5972,no,100663
naturally,característicamente,8,0.5456559980754617,0.2396958766389535,0.6947917432219585,6112,no,438055
compiled,compiló,0,0.6813649460294783,0.0,1.0,5621,no,115024
believing,confesándole,5,0.598688037690096,0.1089824242849719,0.8459983422498543,6739,no,132318
halifax,halifax,0,0.6511909283904252,0.0,1.0,6398,yes,2858
feminist,feminism,7,0.639518550476958,0.2140122726190303,0.7492623970593708,6646,no,46431
sick,enfermas,2,0.6093719254649945,0.0684489518162834,0.8990161647265419,6598,yes,422989
certification,certifica,5,0.7029285108709301,0.1176263333138837,0.8566502481248033,7085,no,282150
rap,gangsta,3,0.6778190986421494,0.1400145525251453,0.8287982497109253,6495,no,69727
desk,colocarles,9,0.4298395791081979,0.020167451555185,0.95518414117785,5633,no,296645
shoulder,pierna,1,0.739991577953854,0.0681532310950527,0.9156670557900864,6625,no,341486
discover,descubriendo,5,0.7355415741665756,0.1193477357858181,0.8603939312418537,5475,no,889866
forbes,mckinsey,3,0.4758012740117688,0.1888945895337398,0.7158180155866021,6924,no,1948
demo,regrabar,7,0.5910064212616446,0.1795453385839516,0.7669912030050661,6296,no,128035
uganda,burundi,6,0.7410391917531005,0.1083050495668737,0.8724839184185722,5800,no,2343
tackles,asistencias,0,0.6205925954612586,0.0,1.0,7096,no,43191
reynolds,richardson,5,0.5705068978076275,0.1223186007309355,0.8234496262205233,6511,no,1702
tan,hsiang,4,0.4545478938020955,0.031472395393865,0.9352446881468036,6946,no,72754
motto,lemas,7,0.4881082842543354,0.2666213465482859,0.6467326368719007,6914,no,50679
copyvio,copyvios,2,0.666468636201152,0.0467840649369329,0.934407447932152,6326,no,13
lectures,impartió,3,0.6515999188616207,0.0640424114428278,0.9105105878580674,6239,no,109440
smooth,suave,0,0.5924162243857074,0.0,1.0,5746,yes,409754
shorts,ffarm,9,0.5105950989540934,0.1722294965951901,0.7477690497416194,6606,no,110397
porter,porter,0,0.6301252446154755,0.0,1.0,5994,yes,10956
enters,adentra,2,0.6684952168696876,0.0680887827883184,0.9075614148285438,5608,no,120246
relatives,descendientes,9,0.5658660782542492,0.2161786354160308,0.7235725379416419,5917,no,196489
semifinals,semifinal,1,0.784215904298609,0.0717360653937038,0.9161914827773682,6217,yes,14098
lightning,ventisca,4,0.5125651994090302,0.0653656659334421,0.8868970843169839,6446,no,78180
tobacco,algodón,5,0.5739020984121511,0.2247679764775618,0.7185721820006844,6534,no,212721
estonian,estonios,2,0.6380977095474912,0.0740882632923264,0.8959706226775263,6671,yes,187
jake,ryan,3,0.6107848705829388,0.1182075891193078,0.8378479947960105,6355,no,4328
cohen,levy,7,0.5730601116217002,0.1532540973682359,0.7889975227369407,6523,no,1771
semifinals,preclasificado,9,0.6469290306757827,0.2090229390165301,0.7558006215095607,6217,no,14098
reforms,reforma,1,0.7075089738975513,0.101486721769171,0.8745522104594979,6255,no,131298
useless,innecesariamente,2,0.5988416723185259,0.0079623862202848,0.9868781592538152,7115,no,150843
bats,jonrones,2,0.4717349458965966,0.0180204843983374,0.9632051361074538,6910,no,46784
bee,avispas,8,0.4366434133746505,0.0884209422171184,0.8315998005283286,7131,no,59238
salvador,josé,1,0.542640668708926,0.1683966923295611,0.763167589276021,5997,no,1692
pastor,predicador,5,0.5774681654769044,0.0624576341956054,0.9023986308606888,6672,no,103447
delay,retrasos,1,0.6073413675797259,0.0513086294806088,0.9221003116835832,6215,no,283570
brook,romford,4,0.4966566424954504,0.0758999414819867,0.8674367851038847,6344,no,13744
edmonton,winnipeg,6,0.5966955870101158,0.1028112203167499,0.8530232740555614,5669,no,4586
estimate,estiman,3,0.6957492790267625,0.0551289396375763,0.926580718061526,6687,no,268772
customer,proveedor,2,0.6526804458569293,0.0715935721553577,0.901151262678398,5748,no,1439964
repeat,repetir,0,0.7092290915532589,0.0,1.0,5953,yes,257943
governorate,otrádnaya,7,0.5581042728828338,0.0340694538227792,0.9424671303600132,7034,no,1514
melody,melodía,0,0.8350789716455773,0.0,1.0,7109,yes,57147
lithuania,bielorrusia,2,0.7049396281232985,0.1202335514862523,0.8542929478838084,5495,no,494
enlisted,alistó,0,0.7024221534251385,0.0,1.0,6460,no,37666
defenders,contraatacaron,7,0.5559393346586875,0.1244373334630792,0.8171052311264607,6091,no,48721
crops,forrajes,7,0.6927556202912275,0.123056788803083,0.8491604351303055,6397,no,169439
clients,corporativos,8,0.554582999692304,0.214094178250399,0.7214771240855579,5846,no,1475341
entrepreneur,filántropo,3,0.6377866405615691,0.1375769675659631,0.8225645798644003,6804,no,108276
dimension,tetradimensional,6,0.6475151841996014,0.1293409058038079,0.8335072512551966,6907,no,163471
balls,sartenes,5,0.4856880212540777,0.1757916344697749,0.734244835878728,6035,no,222970
traveling,viajaba,6,0.6174054048606937,0.158447076924856,0.7957767995273981,5771,no,326384
armament,afuste,9,0.6406572829080072,0.0951278705088448,0.8707124354615089,6981,no,5492
sailed,zarpó,0,0.8378936647760342,0.0,1.0,5927,no,39406
toy,peluches,8,0.5277558950578621,0.1496157867048194,0.7791230564651246,6472,no,214959
ibm,compaq,8,0.67400293278173,0.1744554291225309,0.7943853971443134,6049,no,3448
gibson,brooks,4,0.5815788630462978,0.0653028980772519,0.8990497151073956,6001,no,2531
barely,solo,7,0.5410229583996949,0.1437032443072913,0.7901303561347922,6710,no,254289
publish,publicarlo,2,0.7600000252525216,0.1159602076425203,0.8676193241566769,5859,no,230884
severely,dañado,3,0.6198666144661256,0.1198304658786459,0.8380006234135827,6333,no,130764
humanity,seres,4,0.5896167570388464,0.1194230650425975,0.8315707223720926,6576,no,207744
nacional,primeira,4,0.5424977899017543,0.0118794928836067,0.9785714652232492,6036,no,426
measurement,medición,0,0.8086471635183023,0.0,1.0,6541,yes,179748
uruguay,paraguay,1,0.7267048096442581,0.0591914737439182,0.92468284302258,6257,no,659
yeah,dije,3,0.6400964158099194,0.0267424927939631,0.95989662203432,5802,no,206356
norton,norton,0,0.6327869537823493,0.0,1.0,6851,yes,2774
temporarily,finalmente,5,0.5603827716189569,0.2779302695608556,0.668464814564132,5667,no,117242
trinidad,trinidad,3,0.5976127467427244,0.0935109441834132,0.8646972381194107,6580,yes,2154
muscle,músculo,2,0.6990778974393834,0.0509708053157828,0.9320433391477768,6078,yes,637216
minimal,limitante,8,0.5248163221400755,0.0505556346487012,0.9121339960138852,6077,no,282593
barely,poco,8,0.5359204174837376,0.1488057852232486,0.7826784127218119,6710,no,254289
surnames,patronímico,3,0.6469296492876901,0.108779948081176,0.8560558864676162,7114,no,7029
cooking,cocinando,3,0.687145484054406,0.0957983903847687,0.8776433490160588,6874,yes,459708
saxon,sajón,0,0.6822101196779837,0.0,1.0,6514,no,1671
drives,empuja,0,0.4986967427783837,0.0,1.0,6607,no,272568
designers,diseñador,2,0.697607578413034,0.1755921907012463,0.7989094856502812,6272,no,331385
speedway,automovilismo,4,0.5765290422810376,0.0868044340976714,0.8691390722935364,6468,no,6178
marsh,everglades,5,0.4452978561545238,0.060356605646728,0.8806366596040216,6286,no,17766
classics,clásica,3,0.5413344495903267,0.0769742652801709,0.8755083610679936,6695,no,65564
quest,búsqueda,2,0.5505087494297269,0.0331854878207134,0.9431457675905154,6073,no,180078
administered,administrados,2,0.715114571655795,0.0298354522876534,0.9599497263860504,5989,yes,123524
pond,embalsa,5,0.4976285258114095,0.1565464833193298,0.7606963257013637,6458,no,114161
wednesday,lunes,3,0.6595649687264658,0.0327780155524681,0.9526563909842952,6291,no,14746
churchill,thatcher,6,0.5131505253559391,0.2226353277212682,0.6974183088868022,6945,no,2825
northeastern,sureste,2,0.6865445312452172,0.0167988691121749,0.9761156938365542,5763,no,22339
chapters,capítulos,0,0.6800808189007798,0.0,1.0,5613,yes,150093
lynn,christy,7,0.5285193468867245,0.0421121843564696,0.9262007406693372,6368,no,2685
explaining,explicarles,8,0.6860531134456185,0.1091605229160976,0.8627280545445222,5973,no,169624
illustration,ilustran,6,0.5708123347683083,0.1108754056459351,0.8373516214644566,6341,no,112826
confirm,confirme,1,0.718001758644915,0.0577425556982214,0.9255649643438056,6260,yes,236654
rings,hexágonos,9,0.4736869035741523,0.2775325948325919,0.6305572533444503,5849,no,321050
bills,enmienda,2,0.4187164713375574,0.0171086688568244,0.9607441900914808,5646,no,483289
tackles,tackleadas,3,0.6091221153799775,0.011470480081281,0.9815168918140966,7096,no,43191
kazakhstan,kirguistán,3,0.7721776228798445,0.0655016872417354,0.9218057716714664,6953,no,727
copenhagen,aalborg,9,0.6462974159769869,0.193128075120527,0.7699282697884001,5717,no,922
nathan,sussman,7,0.5595026653557207,0.0820269203509338,0.8721385230260582,5902,no,2726
airfield,hidroaviones,7,0.5850956084632539,0.1715459696195556,0.7732797475203232,6165,no,11374
strategies,aprendizajes,9,0.5797086235625808,0.2848281053450388,0.6705425046487826,7029,no,719011
glacier,glacier,5,0.5927954647136071,0.1777211427801712,0.7693480697862748,5647,no,23482
servant,sirvienta,2,0.5697934636207949,0.0689420570018324,0.892064783034723,6359,yes,89915
nottingham,huddersfield,3,0.6764862507069136,0.0648491540402077,0.9125238675706732,6904,no,1490
franco,gianfranco,2,0.5341393449469902,0.1403297442013338,0.7919404366202561,5978,no,1134
cruise,cruceros,3,0.5443671832605546,0.013852320421015,0.975184814701643,5857,yes,240158
broadcasts,retransmitía,0,0.7315910790066511,0.0,1.0,6157,no,41348
dylan,jagger,2,0.5508730961717061,0.1745925669981231,0.7593372424612582,6942,no,8805
capita,renta,3,0.6587721227665702,0.1690440894819462,0.7957951451291485,5532,no,43179
elaborate,adornar,4,0.5545967327207425,0.0141824307883994,0.9750651365269792,7111,no,116793
deeply,tremendamente,9,0.5392208375939576,0.24778991630126,0.6851505331091693,6238,no,306771
duncan,mulgrew,9,0.5527946870120442,0.0910234766372867,0.8586192782736329,5778,no,1804
eds,ed,1,0.637054460432255,0.0577519549657687,0.916880509900466,6433,no,6949
strict,estricta,0,0.7792107396539014,0.0,1.0,6082,yes,190987
deceased,esposa,7,0.5271140329952845,0.1414119595829839,0.7884720098352377,6242,no,91387
bulk,granel,5,0.4795095047701413,0.012339133804807,0.974912741772433,6784,yes,208183
geographical,geográfico,4,0.593125776592905,0.1713784416579709,0.7758306134005761,5643,yes,79341
copyvio,autopromoción,1,0.6830625542858386,0.0301901468522464,0.957672579712528,6326,no,13
travelling,viajar,1,0.6789177850092583,0.0714274533369343,0.9048072144838756,6670,yes,176307
fees,pagos,5,0.6392984184968445,0.0307662368627136,0.9540846743420538,6969,no,777365
commitment,respeto,7,0.562797022223307,0.1541390047596562,0.785003125860044,6253,no,605347
missionary,evangelizó,3,0.6893095671963165,0.1032955963597248,0.8696758473080256,5673,no,52248
settle,trasladarse,7,0.5527231700821341,0.1150973744073327,0.8276522407747698,6633,no,262045
advisor,asesor,0,0.7963453921057291,0.0,1.0,6275,yes,145984
bruno,bartolucci,5,0.5029707908472518,0.1548410312846935,0.7646119664087838,6941,no,2193
feminist,feminismos,4,0.7211143682504734,0.132416454845515,0.8448603714565286,6646,no,46431
erik,johansen,9,0.535245194262616,0.1624182731031946,0.7671968209594773,6986,no,1205
albany,albany,0,0.6645719451517191,0.0,1.0,6189,yes,3064
protecting,protección,7,0.6683970089070664,0.1126991926131985,0.8557166295344293,6888,yes,240101
saxophone,clarinete,2,0.7331455515373915,0.0489276659824536,0.9374385097374696,6043,no,15308
copa,libertadores,1,0.6490810010404493,0.0001947513509775,0.999700048322673,6483,no,360
handled,manejó,5,0.4870283635230984,0.0755803439022974,0.8656609062306068,5948,no,209643
tiny,pequeñísima,1,0.5677282883028059,0.0020859174155135,0.9963393025400552,5568,no,512380
elevated,eleva,6,0.5159800816017206,0.1618523208875981,0.7612207379092524,6014,no,142421
optical,óptico,2,0.7204677595005322,0.0091664574163796,0.9874369139990272,5885,yes,124269
goddess,divinidades,8,0.643757616777529,0.217709613344824,0.7472804469719607,6434,no,55927
terminology,acepción,6,0.5665380238474536,0.0927701082463342,0.859291727599778,6614,no,74937
lit,iluminada,1,0.5025834025867348,0.0019618398500562,0.9961116671310164,6897,no,124561
maharashtra,maharastra,9,0.6064025419249996,0.0571956231058912,0.9138098534325684,6713,no,742
uncertain,desconocemos,6,0.6081005585511247,0.0982797342933097,0.8608685218304161,6850,no,110198
inches,pulgadas,2,0.7179527038833976,0.0609274205562235,0.9217756126463506,5975,yes,405253
sue,susan,4,0.5036283998332651,0.0693434944843132,0.87897574877228,6980,no,70715
malta,chipre,2,0.5786686186346498,0.1791406747802844,0.7636071814677563,5604,no,1713
burned,incendiado,0,0.7426702985569955,0.0,1.0,5619,no,163230
yeah,hmmm,1,0.6600792864360663,0.0067596221678162,0.9898631857250676,5802,no,206356
stan,joe,3,0.5111440617245193,0.1352933419245885,0.7907092919424771,6786,no,3580
uganda,malawi,7,0.7367752557281613,0.1125689855918129,0.8674636500544604,5800,no,2343
remarkable,incomparable,8,0.6571133764286925,0.0813135365653883,0.8898827559850326,7007,no,289856
upset,molesto,4,0.5736701345292391,0.0224845197696416,0.9622840824817764,6424,yes,218546
busy,andando,7,0.4764920583531475,0.0413639411817876,0.9201246268867506,6550,no,607913
particle,antipartícula,2,0.7301022262825111,0.0910392305575661,0.8891308801921852,6721,no,65205
ani,ecemaml,9,0.5214993328287354,0.0375201183262005,0.9328822668894904,5618,no,2835
eve,navidad,4,0.5085337089868714,0.1098577326927704,0.8223492026435866,5506,no,78079
reynolds,reynolds,0,0.6928254985385631,0.0,1.0,6511,yes,1702
explosion,incendio,4,0.6224882244412864,0.2232364710569203,0.7360412055539961,5990,no,116122
recommend,recomiende,7,0.604977144315326,0.0661502291268315,0.9014341662335236,5682,no,771284
albanian,croata,2,0.6463626838852841,0.0762030024254299,0.89453830444882,5553,no,370
betty,betty,0,0.6866813556300218,0.0,1.0,6440,yes,3717
emmy,nominaciones,6,0.6354426009278521,0.2039658301662573,0.7570124118238813,6638,no,950
tenth,quinto,6,0.7246282715994835,0.0598948697565198,0.9236544257279716,5538,no,54217
supplied,suministrador,9,0.6580193719487022,0.1087529539957825,0.8581678676759438,5631,no,255570
highlights,resaltantes,0,0.5552918013474281,0.0,1.0,6957,no,227178
pointing,apunta,2,0.5957099967557539,0.0954754472597836,0.8618671037035939,6108,no,182376
deeply,fervientemente,5,0.5613551433782915,0.225655610516926,0.7132750608551789,6238,no,306771
healthy,nutritiva,5,0.5885202640859899,0.1958960124432737,0.7502652375980299,6657,no,1284843
neighborhoods,barrio,2,0.6444097039937224,0.0251531266731245,0.962433508072613,7003,no,110790
opposing,contrarios,0,0.667704580897164,0.0,1.0,5523,no,103954
linda,sandra,7,0.5644745528838784,0.0256799060723361,0.9564861271780352,5832,no,4546
curriculum,currículos,7,0.675899274473089,0.0498711357389087,0.9312852452549816,6045,no,234314
accommodate,albergar,3,0.6798257258362221,0.0878026997746181,0.8856182277190306,6755,no,223137
albany,hartford,1,0.6092015758953093,0.0553703692564098,0.9166826561663404,6189,no,3064
tight,costuras,5,0.4492529103282819,0.0415817307953899,0.915283626477144,6791,no,402805
discography,álbumes,5,0.5872254698084884,0.1860839650096115,0.7593667468270541,6264,no,6644
martha,cristine,8,0.5539293666736322,0.1056450536941493,0.8398284553921281,6707,no,2419
arctic,circumpolar,8,0.6166688068353399,0.2289647273287134,0.729238827366212,6219,no,17087
indie,shoegaze,2,0.6516730132127659,0.1624448310781001,0.8004652124784256,5656,no,56438
planets,exoplanetas,2,0.717775201189187,0.1262935314629553,0.8503752993359566,5958,no,87925
innovation,tecnológicos,5,0.6504406817784042,0.2005019626743432,0.7643766427956037,5584,no,371600
tested,prueba,5,0.5593972214782652,0.1435055631292872,0.7958386760277101,5540,no,389598
marion,audrain,3,0.5673225877833639,0.1387386444329764,0.8035033817145391,6441,no,1539
housed,albergada,2,0.651592491671309,0.0406114511596997,0.9413302227178812,5581,no,70928
troy,wayne,3,0.4590909052427902,0.1896745715349657,0.7076376929348516,6830,no,7403
array,configurable,8,0.4869441026557325,0.0592902630461207,0.8914563660418197,6500,no,355921
widow,esposo,7,0.6815809554921766,0.1110133222417892,0.8599367603824023,5828,no,52867
curriculum,curriculares,9,0.6654571033631504,0.0603133068488472,0.916897539497057,6045,no,234314
nest,nidos,1,0.7211131827584836,0.0508949049899809,0.9340746479244612,7035,yes,90391
tenth,octavo,1,0.780546263973638,0.0039768773823652,0.9949308348310906,5538,no,54217
graves,enterramientos,7,0.5535415374942306,0.0820275782002551,0.8709383823494574,6977,no,29787
vale,notts,7,0.4901000901983103,0.0465230848151033,0.9133039962093692,6729,no,4054
preference,prefieran,6,0.5592910464652043,0.2005496026715538,0.7360636037313945,6776,no,198338
henderson,johnston,9,0.5997339780669075,0.0838140472339119,0.8773838206949298,6199,no,7086
relegated,ascendidos,6,0.6006828376735345,0.0710831343945266,0.8941846753926906,5499,no,23626
infection,infeccioso,2,0.7686741097294061,0.0948264889233112,0.8901836442600446,6747,no,402091
ash,tefra,5,0.4094705496324796,0.0936604990792152,0.8138447243137945,6497,no,63688
roberto,gianfrancesco,8,0.5801404430374985,0.0764064335290167,0.8836237955641604,6835,no,670
edgar,edwin,4,0.523502070137346,0.1549985441090026,0.7715572530746065,6041,no,1556
triangle,equilátero,2,0.6037489751282606,0.1588495049445761,0.7916996832600502,6093,no,59398
graph,grafos,1,0.6428056122973408,0.0684669594089329,0.9037401945014027,5888,no,97838
rings,concéntricos,6,0.4828824282600844,0.2683370701466598,0.6427980494172824,5849,no,321050
highland,highlands,1,0.6126284335253309,0.0064199017141728,0.989629401536652,6787,no,7166
screenwriter,cinematográfico,9,0.6622745677665947,0.1928318055751013,0.774493780438651,6552,no,13265
pounds,kilogramos,2,0.6699062316483753,0.0885177290784275,0.883287272472773,6678,no,515892
maintains,mantiene,0,0.7437902333610568,0.0,1.0,6449,yes,142165
garrison,guarniciones,5,0.6492412086091395,0.1274382761885698,0.835919090586303,5634,no,14305
clothes,vestimentas,6,0.7063509904414278,0.103103780031262,0.8726256440850259,6858,no,638022
minimal,mínimos,2,0.566060484041236,0.0093114727475407,0.9838166030900964,6077,yes,282593
muscle,musculado,6,0.6457274777303058,0.1043212250248604,0.8609140651244972,6078,no,637216
