en,nl,position,score,rel_score,ratio_score,index,correctness,freqs
commitment,streven,4,0.6411650177474508,0.0236758285626614,0.9643887274765636,6253,no,605347
diary,dagboeknotities,3,0.6638230539135523,0.1540737486298771,0.8116220186327284,7057,no,75370
squadrons,eskader,6,0.6961785120936758,0.1135113317250827,0.8598088730003989,6789,no,6859
philosophers,filosofisch,5,0.7004736920455714,0.1856379804957378,0.7905027252791508,7075,no,39041
maya,ramayana,7,0.4588308897026854,0.2121654910880597,0.6838053122760062,7137,no,5492
sail,zeilboot,6,0.6832897174751469,0.0430889043115022,0.940679828647052,6588,no,82136
wheels,wielen,0,0.7613500483704546,0.0,1.0,5920,yes,219741
dos,camões,3,0.5159610733380114,0.2806221043156746,0.647717762328048,5810,no,17467
explorer,ontdekkingsreizen,3,0.6140074997978835,0.0861925855247995,0.8769029205629442,6201,no,38234
mann,welcher,8,0.521969084441704,0.112479439271522,0.8227130569818091,7270,no,1975
abdul,abdullahi,5,0.7232135826892261,0.0288863118071142,0.961592453318374,6190,no,863
delay,uitstel,5,0.6374940897296246,0.1149355756234212,0.8472474160498542,6215,yes,283570
macedonia,griekenland,5,0.7282786687656485,0.1514243609975031,0.827868774035856,6007,no,554
argues,betoogd,5,0.6808435069870556,0.1132742331899553,0.8573583897462028,6464,no,112654
advertisement,reclame,1,0.7438179344350426,0.0081010879270905,0.9892261165282916,6935,yes,112230
tracking,navigatiesysteem,6,0.5479578190858774,0.0928460496113263,0.8551100357741465,7099,no,260366
bruno,balducci,9,0.5289593951367162,0.1802608012176492,0.7458323914853928,6941,no,2193
pregnant,zwangere,1,0.8425531560018961,0.0262562661268708,0.969779026955604,6768,yes,379625
ethiopia,ethiopië,0,0.8404235119343445,0.0,1.0,6601,yes,1566
slovakia,slowakije,0,0.8364901945196547,0.0,1.0,6013,yes,576
vandal,gevandaliseerde,8,0.7001783309822011,0.0843747799853175,0.8924549800315421,7210,no,1865
pet,knuffels,3,0.5699307924397312,0.0884748933670251,0.8656225253300853,6423,no,535006
concerto,altvioolconcert,0,0.8650655434887601,0.0,1.0,6778,no,7740
inventor,uitvinder,0,0.8933523383358521,0.0,1.0,6975,yes,40147
jake,nick,6,0.650098711046751,0.0887224164105322,0.8799135364254158,6355,no,4328
accuracy,betrouwbaarheid,2,0.729870603088165,0.0694546492782131,0.9131084010262472,5735,no,213289
variables,basisvectoren,8,0.702615030045923,0.1661013305008173,0.8087968201769806,7276,no,170150
introduce,invoeren,4,0.6180275439711733,0.1953682652078281,0.7598115665176312,6651,no,298951
erik,erik,0,0.7241021160964871,0.0,1.0,6986,yes,1205
revolt,opstand,0,0.866275186199707,0.0,1.0,6820,yes,34363
southampton,bournemouth,6,0.7501257300081814,0.088370015077525,0.8946088688041078,7235,no,1535
kilometers,km,2,0.6951027410770785,0.1166123406668397,0.8563383343619715,6385,no,86652
allmusic,muziekalbums,8,0.5370500129461059,0.1610771910956673,0.7692724332140063,5758,no,251
ignore,zeuren,6,0.7096770872270176,0.1314162248581926,0.8437554752012117,6191,no,268802
espn,eurosport,8,0.5640587553860554,0.1205162649826334,0.823954626743863,5965,no,3767
cnn,nieuwszenders,4,0.6471165108343531,0.0796429190858241,0.8904136419742478,6751,no,5277
followers,volgeling,2,0.7417146501320879,0.1442546830439687,0.8371786949703564,6305,no,209040
settle,lijven,1,0.5643815922508619,0.1150464960663507,0.8306715632683151,6633,no,262045
consumption,geconsumeerde,8,0.6752986753362693,0.1178568813040503,0.8514076081074521,5695,no,423879
georges,gustave,5,0.6352652375683274,0.1177053043158011,0.8436787393816605,6855,no,1221
repeat,herhaalt,8,0.5802721986253209,0.1727525467063343,0.7705884862651509,5953,no,257943
inches,millimeters,6,0.6694837521672632,0.0766056672338457,0.8973237453288941,5975,no,405253
landmarks,beeldbepalend,8,0.5715805058725584,0.1425277330477318,0.8004115828950112,6652,no,36399
ethnicity,afkomst,8,0.6460158874124611,0.1668147594304392,0.794773043956498,6764,no,40109
vital,onmisbare,3,0.6455172823010878,0.0438298690729844,0.9364182923137948,6382,no,630063
construct,funderen,6,0.6094271013594228,0.1215951061112843,0.8336642787747911,6781,no,164107
poles,tsjechen,5,0.4968507433018461,0.0922132138842254,0.8434580612863783,7297,no,65162
geographical,topografische,7,0.5966592761379845,0.2268182509775421,0.7245604846412262,5643,no,79341
cohen,levinson,8,0.5445825855029969,0.187292942325849,0.7440918090519228,6523,no,1771
assertion,onverifieerbare,9,0.7250696344972076,0.0900421328368601,0.8895340044821645,5761,no,65575
complement,alternerende,1,0.4769355486038366,0.018455103209246,0.9627463636188892,6544,no,144296
humanity,mens,8,0.6145086723435844,0.2160482386879856,0.73987545486841,6576,no,207744
evangelical,protestants,3,0.784437063259646,0.0479967776140741,0.9423416309412688,7138,no,36492
mohammad,mohamad,0,0.744055073902408,0.0,1.0,7257,no,712
dying,gestorven,5,0.7122946687687784,0.0994248047860055,0.8775133429402747,5979,no,211988
blogs,internetforums,5,0.6938047512321145,0.0886049847338477,0.8867537293302516,6887,no,361395
allegedly,aangeklaagd,7,0.6769353467611164,0.0687893051352717,0.90775508767165,6214,no,115125
dot,lijntjes,8,0.4487488176934113,0.1262298040843432,0.7804617436139485,7193,no,93095
marshal,opperbevelhebber,5,0.6849171399150574,0.0486689303717592,0.9336561415994026,6032,no,11641
armoured,pantserwagen,5,0.7470027642960775,0.0453652593148563,0.9427472361793192,7102,no,9377
passion,sensualiteit,7,0.5658918983722883,0.2213998798543045,0.7187829392134427,5848,no,412537
silence,stilte,0,0.7051848728048657,0.0,1.0,6989,yes,192256
plains,kustvlakten,4,0.6108110393302928,0.0851498405555218,0.8776513982086288,5918,no,41195
routine,routine,0,0.570289922531632,0.0,1.0,6798,yes,447950
spelled,genoemd,9,0.5651253231206503,0.252068518387426,0.6915437860835435,6947,no,41779
armor,pantser,0,0.6958585754552098,0.0,1.0,5906,yes,78590
formats,formatteren,9,0.619092234736494,0.1178267465544882,0.8401089542461347,6415,no,163655
jessica,amanda,6,0.7028932894559625,0.0410466033610145,0.9448253766771548,6990,no,7307
abolished,gelegaliseerd,8,0.5886907954310288,0.1929929831289056,0.7531060661327152,6134,no,29215
kingston,kingston,0,0.735160479282688,0.0,1.0,6083,yes,2478
warrior,gevecht,9,0.5497010518819326,0.2073836195381587,0.7260760554705701,5815,no,67574
chicken,broodjes,7,0.6574179835470606,0.0826254942482512,0.8883504865222195,6417,no,338089
gathered,trokken,6,0.6248205861772445,0.1843107626660811,0.7722115662314182,6205,no,248810
separation,afscheiding,4,0.5810733666409154,0.1804633799693328,0.7630273512439009,6139,yes,164622
associates,zakenpartners,0,0.5802152731518585,0.0,1.0,6599,no,126010
holes,gat,4,0.5866503855106053,0.0491089969481323,0.9227553720745606,6872,no,270893
nicolas,françois,1,0.6460320610243708,0.0911136787270215,0.8763966556223328,7324,no,1070
sustainable,duurzaam,1,0.7674495140187833,0.0697816858655874,0.9166518329999828,6080,yes,371619
bolivia,colombia,3,0.8078497737721759,0.0605493836291113,0.9302747093740772,6394,no,849
rod,riem,1,0.4543416249896553,0.0657057344727828,0.8736543253662484,6022,no,113157
quarterback,honkman,4,0.6190413156905006,0.0585525723117656,0.9135875140721904,5943,no,88293
ain,said,7,0.4549995506359127,0.2844173185155173,0.6153491617767384,7055,no,5145
aux,autre,4,0.5630038854954909,0.0868254390917415,0.8663873177054721,6758,no,7780
sensitive,ongevoelig,3,0.7096249752241678,0.0550937760714154,0.9279555052389186,5842,no,371115
duck,eend,0,0.6794342415323691,0.0,1.0,5993,yes,78432
lithuanian,litouws,1,0.7727093188897838,0.0338362535763221,0.9580479333946824,6145,yes,294
lasting,gedurende,4,0.606499243880266,0.0691079553138305,0.8977098595215289,6675,no,237682
imprisonment,veroordeelde,9,0.7497828998348215,0.1173835153770966,0.8646355378645395,7004,no,55188
cabin,laadruimte,5,0.5617731506975012,0.0883048128776347,0.8641627345864825,7298,no,127549
neighbouring,aangrenzende,2,0.6642372611678028,0.0832099397862843,0.8886744914154872,6526,no,40535
modes,subsystemen,4,0.5598006670878026,0.0835418219464647,0.8701440937441101,6358,no,127220
unofficial,officiele,6,0.570216623851111,0.1747677287368345,0.7654075174468806,6783,no,34310
searches,zoekopdrachten,4,0.6517636208621238,0.0533331391480078,0.9243605386199172,6719,yes,155715
planets,melkwegstelsels,7,0.7201606822524346,0.1588008921183178,0.8193312463835485,5958,no,87925
limestone,granieten,8,0.7471053341570298,0.0921746648978736,0.8901741194813773,7176,no,37104
trap,ontsnappende,2,0.5752141794298385,0.0191292829639242,0.9678144302506844,7077,no,132686
enterprises,onderneming,8,0.6389650852123565,0.0541761996236673,0.921839600657341,7139,no,195609
nephew,neef,0,0.9000736878029918,0.0,1.0,5841,yes,46102
bike,racefietsen,8,0.6675907091063292,0.1170703549310757,0.8508013710675276,7002,no,539581
brook,bijrivier,2,0.5002871101788269,0.0711810273177251,0.8754418266789991,6344,no,13744
blair,cheney,4,0.56174611848408,0.1656725311739192,0.7722459669520279,6772,no,3735
commitment,respect,9,0.6268850251752609,0.0379558211348514,0.9429099139357826,6253,no,605347
quest,quest,0,0.6779206408191574,0.0,1.0,6073,yes,180078
interactions,gedragsveranderingen,6,0.6179180866861071,0.1653819834444257,0.7888650981266149,6476,no,166569
circular,cirkelvormige,0,0.7817245195086284,0.0,1.0,5904,yes,101655
responses,antwoord,6,0.6316378274352852,0.0815607899055725,0.8856408468517931,5824,no,277454
advised,advies,8,0.6641873504515721,0.1331209370750872,0.8330370583654116,6703,no,260125
delayed,vertraging,2,0.7566874159233814,0.0713698508593414,0.913810489053931,6288,no,135808
departed,arriveerde,2,0.692607966052359,0.0579475317889038,0.9227938081120294,5884,no,54126
arch,spitsbogen,7,0.5558620072063447,0.063916806074834,0.8968715859510407,5720,no,62120
emmy,bafta,2,0.701796579511895,0.0979429372645563,0.8775314521666508,6638,no,950
boris,liev,9,0.6387436269137787,0.1612094532820287,0.7984763640855425,7231,no,708
compromise,compromisvoorstel,2,0.7297802872308201,0.071842459943878,0.9103787159270552,5796,no,162141
forget,excuseren,7,0.5853794978947744,0.1013871942825013,0.8523702511531672,6395,no,726877
contracts,betalingsverplichtingen,6,0.6588292960533803,0.1886147967263441,0.7774309853200302,6128,no,326030
myspace,hyves,7,0.5936889512334151,0.205080853434195,0.7432541237340153,6066,no,40138
witnesses,getuigen,0,0.7483092212340781,0.0,1.0,6949,yes,128917
greene,harrison,8,0.6068276309706998,0.0315333877103499,0.9506025794377252,7264,no,1968
portsmouth,peterborough,5,0.6915573189055407,0.1320456333395432,0.8396731908505232,7038,no,982
cox,cox,0,0.6694780210626305,0.0,1.0,6127,yes,3786
governance,beleidsvorming,2,0.6998759545677014,0.0168289181676288,0.976519040391897,7092,no,152407
walt,mickey,3,0.5420125520268829,0.2127710006560411,0.7181032894798334,6750,no,4780
jail,gevangeniscel,1,0.7446897966286398,0.0919930200422801,0.8900503055526926,5801,no,188390
polo,zwem,6,0.5022006909049639,0.1076151274993258,0.8235284749075167,5831,no,61827
triangle,driehoekje,7,0.5677248367927016,0.1482052046430871,0.7929892642221529,6093,no,59398
saxony,lauenburg,7,0.7118635288915183,0.060158482748154,0.9220767259985432,6734,no,223
hardy,conway,3,0.48535465017882,0.1300139724489823,0.7887218040240904,6889,no,30773
slovakia,tsjechoslowakije,3,0.7201160286197645,0.1163741658998901,0.8608780274265896,6013,no,576
travelling,afgereisd,3,0.6928514173429239,0.0524695244554737,0.9296014354180508,6670,no,176307
rapper,hiphopgroep,2,0.6277759508801525,0.1524250833527621,0.8046335794688803,6632,no,31472
economist,economics,9,0.631056088362065,0.2421025568781027,0.7227278705904459,7026,no,57898
abstract,abstractere,3,0.7717959378194421,0.0593356698293947,0.928608575003846,5863,no,137841
bradley,mitchell,1,0.6369404737066624,0.0757370317702135,0.8937288869254609,6018,no,2776
prestigious,oeuvreprijs,4,0.5964549944522346,0.2704514416780675,0.6880269537675727,6079,no,139260
strings,koperblaasinstrumenten,8,0.6630263918671326,0.0556680645189032,0.9225427940562796,5912,no,127712
observatory,sterrenwacht,0,0.7927649582069559,0.0,1.0,6306,no,13249
boxers,sporters,1,0.6386744987491122,0.0759247095567323,0.8937520379616247,6906,no,17662
plates,drukplaten,0,0.6330595247659175,0.0,1.0,6225,no,164087
división,atlético,5,0.7456611168661381,0.1084223739604366,0.8730541274653296,6819,no,0
plymouth,peterborough,2,0.6883824179387978,0.1070743285404578,0.8653926451508823,6161,no,2021
sheep,koeien,1,0.7307623396952303,0.0481129220601461,0.9382276926452736,6084,no,141415
parishes,kerkgemeenten,2,0.677569857009203,0.1398257835699982,0.8289374488577911,6124,no,23313
trinidad,curaçao,9,0.657464208582323,0.1224456226772181,0.8430002831487962,6580,no,2154
reforms,hervorming,3,0.7817646648507749,0.1040333203817619,0.8825541239468371,6255,yes,131298
relatives,families,9,0.6105290218287507,0.1470414544105509,0.8059039270636736,5917,no,196489
batman,superman,3,0.6285514439847447,0.1183362258811145,0.8415608790243281,5963,no,12095
executives,zakenmannen,8,0.5987427815152564,0.1344427152809488,0.816632058505764,6519,no,186995
canon,canons,2,0.5810256820965918,0.0487660692522387,0.9225679454394314,5780,no,40018
explore,verkennen,0,0.7512539203301329,0.0,1.0,7017,yes,559188
joy,troosten,8,0.5072284165023354,0.1394038887115588,0.7844155208647571,5860,no,370645
carlo,giuseppe,6,0.6494108579171611,0.1392881265922707,0.823395072989846,6367,no,1377
freight,reizigerstreinen,7,0.7882238686915357,0.0434978455346484,0.9477014429338088,6154,no,79405
governmental,overheidsinstantie,6,0.7441741881422907,0.0538014013250917,0.9325776351617446,7201,no,87036
annie,julie,9,0.6511590768077034,0.0704756824177077,0.902338847295334,6737,no,3876
americas,amerika,0,0.6996457360655077,0.0,1.0,6560,yes,5947
brien,connell,3,0.6739846481019934,0.0606570445247159,0.917433158050373,6106,no,814
kilometres,zuidoosten,6,0.6149626572155396,0.2305031643877195,0.7273654848038495,7051,no,58331
louisville,kentucky,5,0.7034779445830486,0.0211765309146075,0.97077706461405,6431,no,8400
cream,chocolademelk,1,0.6565314557721811,0.0046062964468495,0.9930327735311,6322,no,438190
suite,concertouverture,2,0.5291149551788039,0.2114559320445053,0.714469018843913,5880,no,186778
placement,omkadering,8,0.4333560573465036,0.2429757254683723,0.6407447769834009,7214,no,219681
homer,homer,0,0.7204935609358226,0.0,1.0,7174,yes,15738
conducting,compositieopdrachten,9,0.5556090556844268,0.1141341707599724,0.8295851809268763,6682,no,163817
indies,voc,4,0.6149543037968723,0.1043220168057306,0.8549625313421543,5693,no,2303
mph,km/h,1,0.7915497609343285,0.0437364477084034,0.9476389682292596,5793,no,107262
electron,atoomkernen,7,0.7465910457612062,0.0802472466083116,0.902946867182043,6748,no,47449
quest,queeste,2,0.5618022292898301,0.1161184115293272,0.8287138574376244,6073,yes,180078
autobiography,autobiografische,2,0.7465110162098305,0.0867768538492586,0.8958620940406763,6609,no,24649
vulnerable,bedreigend,4,0.6791768419011078,0.1332095343251426,0.8360268731438653,7058,no,231732
biblical,bijbel,2,0.7858118014707312,0.0845467258248554,0.9028598868473634,5639,no,88874
refuses,vraagt,1,0.7904234060329617,0.1272988741070193,0.8612882384335244,6283,no,76521
proportion,hoeveelheid,8,0.6244287080632174,0.1239117226837367,0.8344179766419214,7154,no,186713
ashley,lindsay,2,0.6475019479822535,0.1100972612990369,0.8546761137680138,7192,no,7593
array,arrays,0,0.5558988997356381,0.0,1.0,6500,no,355921
varied,uiteenlopend,0,0.7654357372387293,0.0,1.0,6701,no,216097
comparable,geleken,7,0.5818009913191551,0.1473394680476184,0.7979271810323401,6104,no,176111
deals,omtrent,5,0.580760395122844,0.1120030927009051,0.83832419769588,5808,no,573868
submit,aanvragen,4,0.601929938343968,0.09197837147562,0.8674488110690967,6303,no,444189
flooding,overstroming,1,0.8469433665254192,0.0247056105068809,0.971656468190904,7271,yes,88829
jessica,michelle,5,0.7097948890839554,0.0341450037330216,0.9541024697523218,6990,no,7307
demon,duivelse,4,0.6472707800999273,0.0884553964901273,0.8797713071728661,7160,no,56523
disorders,aandoening,9,0.7726432774297662,0.0680504423590526,0.9190544180868307,6653,no,256984
delegates,congres,5,0.6877368209770305,0.0898389966900843,0.8844627177840747,6771,no,98685
inline,infobox,5,0.5743063380502706,0.0313757222044963,0.9481977026176096,6366,no,22386
terminology,vakterm,7,0.6727171919721069,0.0957377471609784,0.8754152751376901,6614,no,74937
compounds,sulfaten,9,0.7490185993023302,0.0312262083651919,0.9599789603745776,6107,no,144323
egg,eitjes,7,0.5563084140674232,0.1381258419600263,0.8010958693913186,6020,no,233657
crashed,crasht,2,0.7898615457985498,0.0252984835752527,0.9689650097359572,6775,no,68819
surgeon,legerarts,5,0.719203735616192,0.1384451412615748,0.8385759662327336,6743,no,148658
thermal,warmteverlies,6,0.6959314020831235,0.0903537336259385,0.8850878268931553,6643,no,122186
explorer,verkenner,4,0.6051717323569592,0.0950283529657238,0.8642840025905872,6201,yes,38234
promise,belooft,4,0.6629979296300583,0.0727843188956017,0.901078995801482,5807,no,417434
ranch,rancho,1,0.5986377904443458,0.1596044231707638,0.7895073364356625,6592,no,70407
dressed,uitgedoste,8,0.6490453547546271,0.1682231771387061,0.7941641326272648,7273,no,217155
striker,linksbuiten,8,0.7832577654826859,0.0511367754451391,0.9387139141774868,6429,no,30805
sanctuary,sanctuary,1,0.5802104925405038,0.0024874137311753,0.9957312121694571,6481,yes,64770
inscription,opschrift,1,0.7325228348673389,0.1424156450754777,0.837227818480694,7059,yes,26613
macedonia,servië,1,0.7841527096599816,0.09555032010317,0.8913834363752327,6007,no,554
archaeology,oudheidkunde,5,0.6846799431494426,0.2089253722427762,0.7661994969769453,6884,no,23743
shoulder,heup,3,0.74610740061117,0.1027885063627297,0.8789150642401553,6625,no,341486
ammunition,munitiedepot,5,0.7043710664447431,0.1686846911301832,0.80678818086174,7014,no,49304
saxony,anhalt,2,0.7368309559498072,0.0351910556898651,0.9544170306554808,6734,no,223
discontinued,uitgefaseerd,2,0.5787723812200618,0.116015706219394,0.8330200124084544,5968,no,43316
fraud,fraudezaak,5,0.7340343055056674,0.084603553331532,0.8966532607572002,6477,no,275541
endings,vervoegingen,3,0.4685911715568921,0.0161596708029688,0.9666639655038032,6561,no,23479
memphis,houston,6,0.6284487520843758,0.1433079514369956,0.8143094180029663,5996,no,10784
cia,inlicht,7,0.5933363106729912,0.1575887870584806,0.7901404713538634,6551,no,1990
vale,wycombe,1,0.5481080389950992,0.0694357240492642,0.8875614519901223,6729,no,4054
assists,scoorde,7,0.4664014034800035,0.0856569990606216,0.8448406931831487,5871,no,165616
toy,actiefiguurtjes,4,0.638984235680607,0.086748212606495,0.8804680529150364,6472,no,214959
cabin,slaapplaats,3,0.5780498369119567,0.0720281266631792,0.8892007871378119,7298,no,127549
sudden,hevige,9,0.6169410567233746,0.227519608175493,0.7305740603054132,7275,no,259275
observer,waarnemers,2,0.5516230228061909,0.1503646958820772,0.7858015291734046,6119,no,57335
twentieth,twintigste,0,0.8164176778223697,0.0,1.0,6162,yes,52032
budapest,graz,8,0.647600790361438,0.2135117404690278,0.7520512908305783,6271,no,1009
zoo,dolfinarium,5,0.5945029293262436,0.2225466186777451,0.7276216366297302,6000,no,53581
moments,dieptepunten,6,0.5341264894719331,0.2520176605370821,0.679425636463501,6461,no,401837
ahmed,hassan,9,0.7195023432499754,0.1104975140358593,0.8668704421261046,6038,no,1089
nigerian,soedanese,8,0.6122302941126128,0.120199070182339,0.8358898809333722,6051,no,2582
legends,mythen,8,0.5896382842610242,0.1839635031716111,0.7621987097753047,6152,no,57188
copied,kopiëren,6,0.690257306003208,0.1553523693758454,0.8162835952578156,5940,no,82587
polo,waterpolo,0,0.6098158184042898,0.0,1.0,5831,no,61827
reasonably,redelijker,3,0.6755666297769487,0.0671095732518078,0.909638180167718,7217,no,212854
gaelic,schotse,5,0.6477666524469148,0.1462561457474052,0.8158035939522077,6012,no,1046
cairo,bagdad,1,0.6986192900369339,0.1498327166751938,0.8234046056938248,6976,no,2236
exile,verbanning,3,0.683821151144717,0.1545430378986698,0.8156612127302207,5636,yes,44353
forget,vergeten,1,0.6728604746806387,0.013906217496637,0.9797511765566996,6395,yes,726877
attract,aantrekken,0,0.7145144673386227,0.0,1.0,7048,yes,346464
physicians,geneeskundige,8,0.6795521509222842,0.1438206123169594,0.8253274595200933,6393,no,209058
ashley,hayley,3,0.6436632127173842,0.1139359965639061,0.8496091400728975,7192,no,7593
identifying,identificeerbaar,3,0.6943152324936871,0.0733216793211718,0.9044839061375728,6920,no,194199
fees,onkosten,7,0.6966291118690843,0.0973251037998569,0.8774172340430786,6969,no,777365
dinner,gasten,9,0.6734463220584904,0.1751881939601559,0.7935646139140696,6185,no,619310
reflected,weerspiegelt,1,0.7492721988459214,0.017358487874804,0.9773574314523524,6207,no,180001
consistently,bovendien,9,0.5657039320630569,0.0406973808464001,0.9328870502421276,6443,no,287966
wagner,hiller,9,0.5544778422190335,0.1827824404091791,0.7520788184091655,6557,no,1247
speaks,sprak,7,0.622992652821007,0.0867131559321765,0.8778181679469204,6243,no,217215
collaborative,samenwerking,3,0.6494970341890323,0.0843611062282653,0.8850443953918742,7227,no,142401
striking,verbluffende,5,0.5159988700128557,0.0274876836453177,0.9494234338268356,6428,no,180227
separately,afzonderen,3,0.6366078194735636,0.1344582608874573,0.8256203141182107,6516,no,145540
outbreak,uitbreken,1,0.7492876287026372,0.0278462255772136,0.964168044637538,5713,no,69050
hurling,clubkampioenschappen,9,0.4580211764917772,0.0580771104412662,0.8874688951470964,7191,no,10608
foundations,fundamenten,0,0.7332634798536948,0.0,1.0,6902,yes,114814
rifles,handvuurwapens,1,0.6759017067932314,0.075929592470768,0.8990071409036857,7032,no,36408
anton,gregor,1,0.5748243602652441,0.1385430666094393,0.8057900299479512,6811,no,663
unused,weggegooid,9,0.5148596994425725,0.1624424432044374,0.7601625139268197,6718,no,59608
circles,kringen,0,0.6360390269504472,0.0,1.0,6583,yes,160387
tackles,honkslagen,0,0.5357402686954699,0.0,1.0,7096,no,43191
graph,kwadratische,2,0.6750869475601553,0.0082728682939718,0.987893832645644,5888,no,97838
pipe,pijpje,9,0.4983322334955984,0.1082778583388628,0.8215033679848325,6268,no,186886
hometown,geboortestreek,4,0.6937618951448962,0.0887916332984999,0.8865360258804041,6871,no,66773
discusses,omschrijft,4,0.6640293021001253,0.1151587015962174,0.8522067831512766,7113,no,126888
copenhagen,oslo,3,0.6987982747008905,0.1740009029668664,0.8006403908035048,5717,no,922
skull,schedelkam,5,0.6776405829507884,0.13651312298954,0.8323251224019541,6961,no,71525
neat,rommelige,5,0.4982149998213152,0.062258376559827,0.8889182266572301,5732,no,132934
varied,varieerde,1,0.763682791858379,0.0017529453803503,0.9977098725666064,6701,no,216097
construct,geconstrueerd,3,0.6436765476448835,0.0873456598258236,0.8805157231433032,6781,no,164107
prestigious,eervolle,9,0.5847821900378798,0.2821242460924223,0.6745620584480041,6079,no,139260
frances,jane,6,0.6650708398044791,0.1041351013039062,0.8646199987043093,7293,no,997
cleaned,opgepoetst,1,0.6929305971245306,0.017226656023242,0.9757424768290616,6535,no,148462
dollar,gulden,9,0.572212609317412,0.200206206319627,0.7408061504114054,5676,no,441398
relatives,nakomelingen,6,0.619478473906606,0.1380920023326955,0.8177172861616705,5917,no,196489
kumar,singh,1,0.6494883216847549,0.0098987074137139,0.984988016177316,6331,no,2562
johns,johns,0,0.6383870640134586,0.0,1.0,7177,yes,4604
rica,colombia,2,0.7562655522653045,0.0300502930943559,0.9617834318465108,6681,no,4915
cornell,university,1,0.6658839333688982,0.0725188297540067,0.9017896013182496,6357,no,1558
glen,dunmore,9,0.5185217731204399,0.2225737280859602,0.6996693034519287,5794,no,4463
warnings,waarschuw,6,0.6832680491190983,0.1834810855130109,0.7883111984981799,5916,no,89525
cannon,kanonnen,0,0.6694517689764105,0.0,1.0,6058,yes,31463
twitter,weblog,9,0.6346921987892165,0.2001837851970105,0.7602233277316156,5679,no,145790
dubai,karachi,6,0.6100034359411728,0.1958236827972598,0.756990453357002,7061,no,13630
cairo,damascus,3,0.6709670078030663,0.1774849989090614,0.7908131544212605,6976,no,2236
seemingly,plots,9,0.609886866606133,0.1609242570997597,0.7912273809359797,6979,no,184595
landmarks,belangrijke_gebouwen,7,0.5892667281329852,0.1248415107873049,0.825178447771361,6652,no,36399
followers,bekeerlingen,4,0.6774897781362943,0.2084795550397623,0.7646876170167235,6305,no,209040
consultant,organisatieadviseur,7,0.6527694407769982,0.1349851241648187,0.8286457100064045,6413,no,230353
sick,ongeneeslijk,5,0.634412328381731,0.0980751792036429,0.8661066868881556,6598,no,422989
duck,snip,6,0.5000942507710755,0.1793399907612936,0.7360451095946868,5993,no,78432
estimates,geschat,9,0.6207317838707631,0.1915067326312526,0.7642235270299726,6896,no,243130
rachel,julianne,2,0.7077093429701335,0.1254503819609234,0.8494281730057172,5910,no,6256
balls,honken,9,0.535126109209033,0.1995108488064728,0.7284225267601336,6035,no,222970
slovakia,tsjecho,7,0.7095185057068387,0.1269716888128159,0.8482089931900182,6013,no,576
witnesses,verdachte,9,0.6544847118329784,0.0938245094010996,0.8746179964929892,6949,no,128917
vale,brentford,7,0.5070606474900843,0.1104831155542791,0.8210926542118729,6729,no,4054
pastor,predikant,0,0.7299251019154944,0.0,1.0,6672,yes,103447
kyle,jamie,2,0.629114153065055,0.1090107273231858,0.8523139780007848,6342,no,2976
