et,sk,position,score,rel_score,ratio_score,index,freqs,correctness,note
läbirääkimised,kontrakty,7.0,0.6361675033919987,0.1222998257573766,0.8387539963065562,4758.0,0.0,no,meaning
meenutama,pripomenú,9.0,0.5777839884573879,0.235431073498274,0.7104934665965271,17352.0,397439.0,yes,not_basic_form
vangist,mrežami,9.0,0.6225379252638097,0.0979653506482365,0.8640320538109595,68059.0,0.0,no,meaning
sõitma,šoférovať,3.0,0.7346107439834381,0.112439195319018,0.8672578910617579,2734.0,1406894.0,yes,near_equivalent
küll,práveže,9.0,0.6696367228285862,0.0615658024758807,0.915801983246372,81.0,2924749.0,no,meaning
laekuma,fakturované,4.0,0.6280192873874422,0.0360828769549135,0.9456666776705276,36316.0,135172.0,no,meaning
näitleja,hereckého,5.0,0.729360003920599,0.0921670044852942,0.8878101346124495,3168.0,214001.0,no,pos_tag
neli,jedenásť,8.0,0.7646649140122298,0.0512393791609865,0.9371992774278632,605.0,863991.0,no,meaning
olud,nevyspytateľné,8.0,0.6071871816593226,0.0959954196930354,0.8634843645044439,17371.0,0.0,no,meaning
põhimõte,zásady,6.0,0.679900879859634,0.1532538302638475,0.8160559756769138,5337.0,347800.0,yes,not_basic_form
minister,premiér,2.0,0.7808595944177066,0.116905286553488,0.8697818448556142,1342.0,305397.0,no,meaning
vahendusel,on-line,4.0,0.607982808153917,0.1663175301502472,0.7852028186962853,2371.0,0.0,no,meaning
hindamine,posudzovanie,1.0,0.8123475088977918,0.0047698368910977,0.9941626047768052,6199.0,229765.0,yes,near_equivalent
põlema,horieť,0.0,0.767333616543052,0.0,1.0,4615.0,187965.0,yes,1
kilo,kilogram,3.0,0.7543078279228654,0.0649923952599771,0.9206732850535636,3095.0,106652.0,yes,1
ujumisriided,papučky,2.0,0.7336278051255191,0.0166190374900471,0.9778485739012128,132856.0,0.0,no,meaning
põhimõte,zásada,0.0,0.8331547101234815,0.0,1.0,5337.0,347800.0,yes,1
hetk,chvíľu,3.0,0.7150446768887326,0.1059161555532623,0.8709851294145072,2329.0,1585458.0,yes,not_basic_form
vangi,väzenia,1.0,0.8092128235894462,0.0046108413560043,0.9943343483919046,5051.0,0.0,yes,not_basic_form
põhi,hrana,4.0,0.5951886466316173,0.0465174210043302,0.9275097691132936,8120.0,317683.0,no,meaning
elama,odsťahovať,2.0,0.6933304589488059,0.076257517754664,0.9009112407377866,1542.0,1552401.0,no,meaning
demokraatia,liberálnej,4.0,0.8016567403703968,0.1226868537591553,0.8672713755595519,3374.0,110824.0,no,meaning
kanal,kanálom,3.0,0.6386739204059364,0.1712690875175324,0.7885418037540296,10609.0,195056.0,yes,not_basic_form
näitleja,komik,8.0,0.717745910705601,0.1037810977002922,0.8736729326748842,3168.0,214001.0,no,meaning
te,hovoríte,3.0,0.6905847389673883,0.0643463530454143,0.9147652630469176,268.0,44.0,no,meaning
ahi,piecka,0.0,0.843141044279184,0.0,1.0,13669.0,169140.0,yes,1
ammu,dávno,0.0,0.8737835049651372,0.0,1.0,991.0,270403.0,yes,1
demokraatia,demokracie,0.0,0.924343594129552,0.0,1.0,3374.0,110824.0,yes,not_basic_form
dressid,tepláky,0.0,0.7578068274218572,0.0,1.0,76903.0,0.0,no,meaning
eel,predvečer,0.0,0.6955131313226408,0.0,1.0,2558.0,106733.0,no,meaning
eeldama,posudzovať,0.0,0.6660109594734773,0.0,1.0,70948.0,262727.0,no,meaning
eesotsas,čele,0.0,0.7526529622208078,0.0,1.0,4345.0,0.0,no,meaning
enda,svojho,0.0,0.6833134606098903,0.0,1.0,163.0,72.0,yes,not_basic_form
enese,ega,0.0,0.7676373304216126,0.0,1.0,2840.0,0.0,no,meaning
ettevõte,firma,0.0,0.8397452407789636,0.0,1.0,1543.0,1428160.0,yes,1
hetk,okamih,0.0,0.820960832441995,0.0,1.0,2329.0,1585458.0,yes,1
hindamine,Posudzovanie,0.0,0.8171173457888896,0.0,1.0,6199.0,229765.0,no,meaning
hommik,ráno,0.0,0.7726186105051893,0.0,1.0,8406.0,659630.0,yes,1
juur,koreň,0.0,0.7224148888885773,0.0,1.0,29104.0,128780.0,yes,1
jälgima,kontrolovať,0.0,0.7475465392504337,0.0,1.0,6357.0,463215.0,no,meaning
järgmine,nasledujúca,0.0,0.7267173913195731,0.0,1.0,1080.0,1661707.0,yes,not_basic_form
kalad,raky,0.0,0.7852136297574157,0.0,1.0,8778.0,0.0,no,meaning
kell,11.00,0.0,0.8321499581825786,0.0,1.0,174.0,1860327.0,no,number
kiire,rýchla,0.0,0.7677162720774304,0.0,1.0,954.0,532068.0,yes,not_basic_form
kilo,kilogramov,0.0,0.8193002231828426,0.0,1.0,3095.0,106652.0,yes,not_basic_form
koht,miesto,0.0,0.7383508090668014,0.0,1.0,470.0,2726920.0,yes,1
kontoritarbed,kancelárske,0.0,0.7345264011320988,0.0,1.0,300027.0,0.0,yes,2nd_word_needed
küll,vôbec,0.0,0.7312025253044669,0.0,1.0,81.0,2924749.0,no,meaning
laekuma,vyplatené,0.0,0.6641021643423557,0.0,1.0,36316.0,135172.0,no,meaning
lastevanemad,rodičia,0.0,0.8145689554248606,0.0,1.0,86554.0,0.0,yes,1
laul,pieseň,0.0,0.8480937285235064,0.0,1.0,4021.0,392297.0,yes,1
laupäev,sobota,0.0,0.857330206619515,0.0,1.0,14506.0,339416.0,yes,1
linn,mesto,0.0,0.8851125570091838,0.0,1.0,1069.0,1549647.0,yes,1
lõplik,definitívna,0.0,0.7512753061300363,0.0,1.0,6906.0,122888.0,yes,not_basic_form
maantee,križovatky,0.0,0.8382377238465148,0.0,1.0,2810.0,219004.0,no,meaning
matused,pohreby,0.0,0.7411569182160107,0.0,1.0,39007.0,0.0,yes,not_basic_form
meenutama,pripomínať,0.0,0.813215061955662,0.0,1.0,17352.0,397439.0,yes,1
minister,minister,0.0,0.8977648809711947,0.0,1.0,1342.0,305397.0,yes,1
miski,ono,0.0,0.6525705836875503,0.0,1.0,1625.0,3791215.0,no,meaning
märkmed,zápisky,0.0,0.8116342248020171,0.0,1.0,46834.0,0.0,yes,near_equivalent
neli,šesť,0.0,0.8159042931732163,0.0,1.0,605.0,863991.0,no,meaning
nemad,oni,0.0,0.8484932388100687,0.0,1.0,1309.0,0.0,yes,1
näitleja,herec,0.0,0.8215270084058932,0.0,1.0,3168.0,214001.0,yes,1
näpp,prst,0.0,0.7589261069969233,0.0,1.0,50733.0,115253.0,yes,1
nõu,poradiť,0.0,0.7060147539986411,0.0,1.0,1498.0,282856.0,no,pos_tag
olemasolu,preukázanie,0.0,0.6810134388817246,0.0,1.0,1788.0,195567.0,no,meaning
olud,pomery,0.0,0.7031826013523581,0.0,1.0,17371.0,0.0,yes,near_equivalent
pidu,párty,0.0,0.7736118461931052,0.0,1.0,3266.0,237563.0,yes,1
pood,predajňa,0.0,0.8424800184660406,0.0,1.0,8431.0,513985.0,yes,1
põhi,spodok,0.0,0.6417060676359475,0.0,1.0,8120.0,317683.0,yes,near_equivalent
põhjendama,zdôvodňovať,0.0,0.7467084371569028,0.0,1.0,30840.0,121083.0,yes,1
põlema,horieť,0.0,0.767333616543052,0.0,1.0,4615.0,187965.0,yes,1
raadio,rádio,0.0,0.8571186463407732,0.0,1.0,5077.0,148117.0,yes,1
ripsmed,mihalnice,0.0,0.8536801635711837,0.0,1.0,37263.0,0.0,yes,1
samasugune,akási,0.0,0.7567657146729743,0.0,1.0,4134.0,232692.0,no,meaning
selge,jasná,0.0,0.7302441499067855,0.0,1.0,643.0,764054.0,yes,not_basic_form
selts,spolok,0.0,0.7802400640539608,0.0,1.0,13880.0,185095.0,yes,1
seoses,súvislosti,0.0,0.8326426363554151,0.0,1.0,693.0,441101.0,yes,not_basic_form
sisemine,vnútorná,0.0,0.7992589434012907,0.0,1.0,7566.0,148597.0,yes,not_basic_form
sundima,nútiť,0.0,0.7555142384492884,0.0,1.0,38715.0,292004.0,yes,1
sõitma,jazdiť,0.0,0.8470499393024561,0.0,1.0,2734.0,1406894.0,yes,1
süles,náručí,0.0,0.7979623486190233,0.0,1.0,10366.0,0.0,no,meaning
sülle,náručia,0.0,0.7668190627920459,0.0,1.0,8490.0,5.0,no,meaning
te,ste,0.0,0.7549310920128026,0.0,1.0,268.0,44.0,no,meaning
tegelema,zaoberať,0.0,0.8449408417428254,0.0,1.0,2658.0,817278.0,yes,1
teie,Vaše,0.0,0.7225429293320076,0.0,1.0,359.0,7.0,yes,1
tellimus,objednávka,0.0,0.769269155099475,0.0,1.0,13520.0,182512.0,yes,1
tüüp,typ,0.0,0.6769799613703432,0.0,1.0,4986.0,374774.0,yes,1
ujumisriided,papuče,0.0,0.7502468426155662,0.0,1.0,132856.0,0.0,no,meaning
vahendusel,prostredníctvom,0.0,0.7743003383041642,0.0,1.0,2371.0,0.0,yes,1
vangi,doživotie,0.0,0.8138236649454506,0.0,1.0,5051.0,0.0,no,meaning
vangis,väzení,0.0,0.8667500551741256,0.0,1.0,16294.0,5.0,yes,not_basic_form
vangist,väzenia,0.0,0.7205032759120462,0.0,1.0,68059.0,0.0,yes,not_basic_form
vms,alebo,0.0,0.7339335675124048,0.0,1.0,1552.0,230297.0,no,shortcut
võimalik,možné,0.0,0.853985362658896,0.0,1.0,135.0,2337813.0,yes,not_basic_form
võistlus,súťaž,0.0,0.7862271791609212,0.0,1.0,3683.0,524195.0,yes,1
õde,sestra,0.0,0.8614961917500352,0.0,1.0,3199.0,229863.0,yes,1
õnnelik,šťastná,0.0,0.841535072761546,0.0,1.0,2381.0,251656.0,yes,not_basic_form
koht,miesta,4.0,0.5519100008234494,0.1864408082433519,0.7474902093234058,470.0,2726920.0,yes,not_basic_form
kuivõrd,miery,4.0,0.6652275275250392,0.0189609061280447,0.9722870115959036,3346.0,101438.0,no,meaning
soodne,výhodné,4.0,0.685385042446285,0.0920547175262848,0.8815924753712973,7644.0,137496.0,yes,not_basic_form
põhimõte,Zásada,4.0,0.7000749669098427,0.1330797432136388,0.8402700703763469,5337.0,347800.0,yes,1
järgmine,nasledujúca,0.0,0.7267173913195731,0.0,1.0,1080.0,1661707.0,yes,not_basic_form
raadio,televízie,2.0,0.7620627674305127,0.0950558789102604,0.8890983420835904,5077.0,148117.0,no,meaning
sisemine,sila,1.0,0.6976703169261457,0.101588626475145,0.8728964782767035,7566.0,148597.0,no,meaning
põhimõte,princíp,1.0,0.8216968495686441,0.0114578605548374,0.9862476195409864,5337.0,347800.0,yes,1
organism,organizmu,4.0,0.7650604259894985,0.1228144753577674,0.8616759239714873,6776.0,187605.0,yes,not_basic_form
vuntsid,fúzy,3.0,0.6839528378188042,0.0242059639838476,0.9658184521293384,60033.0,0.0,yes,1
näpp,ukazovák,1.0,0.7179093377260963,0.0410167692708269,0.9459541991075644,50733.0,115253.0,no,meaning
võimalik,nemožno,3.0,0.6739059866162729,0.1800793760426231,0.7891306058432391,135.0,2337813.0,no,antonymum
hindamine,posúdenie,2.0,0.795700428725669,0.0214169170632205,0.973789667819934,6199.0,229765.0,no,meaning
põhjendama,akceptovať,3.0,0.6956637955025526,0.0510446416543501,0.9316404648530516,30840.0,121083.0,no,meaning
samuti,takisto,0.0,0.6934745307339469,0.0,1.0,190.0,1933240.0,yes,1
õhtu,rána,4.0,0.7084699097480323,0.1136146132759564,0.8617969197886953,2689.0,832578.0,no,antonymum
sundima,nútiť,0.0,0.7555142384492884,0.0,1.0,38715.0,292004.0,yes,1
näitleja,tanečník,3.0,0.7385509932696874,0.0829760151362057,0.8989978244328034,3168.0,214001.0,no,meaning
hetk,chvíľu,3.0,0.7150446768887326,0.1059161555532623,0.8709851294145072,2329.0,1585458.0,yes,not_basic_form
vangi,doživotie,0.0,0.8138236649454506,0.0,1.0,5051.0,0.0,no,meaning
soodne,priaznivá,0.0,0.7774397599725698,0.0,1.0,7644.0,137496.0,yes,not_basic_form
organism,metabolizmus,3.0,0.7667508225171872,0.1211240788300788,0.8635797918757648,6776.0,187605.0,no,meaning
matused,obrady,4.0,0.6420522956746879,0.0991046225413228,0.8662838865757728,39007.0,0.0,no,meaning
meenutama,spomienkou,2.0,0.6303700003848717,0.1828450615707902,0.775157802499286,17352.0,397439.0,no,pos_tag
dressid,tepláky,0.0,0.7578068274218572,0.0,1.0,76903.0,0.0,no,meaning
olemasolu,neexistencie,4.0,0.6556743071664644,0.0253391317152602,0.962792023962304,1788.0,195567.0,no,antonymum
vahendusel,internetovej,2.0,0.6566604261035581,0.1176399122006061,0.848069403587947,2371.0,0.0,no,meaning
lõplik,predbežná,2.0,0.7356859779018103,0.015589328228226,0.9792495133261738,6906.0,122888.0,no,meaning
kilo,kila,1.0,0.7983911524744696,0.020909070708373,0.974479354311482,3095.0,106652.0,yes,not_basic_form
prillid,okuliare,0.0,0.8158438176019938,0.0,1.0,12013.0,0.0,yes,1
näpp,prst,0.0,0.7589261069969233,0.0,1.0,50733.0,115253.0,yes,1
enese,samého,1.0,0.7340080292672067,0.0336293011544059,0.9561911597812268,2840.0,0.0,no,meaning
meenutama,spomínať,1.0,0.7510779081582806,0.0621371537973813,0.9235907489859438,17352.0,397439.0,yes,near_equivalent
vuntsid,strapaté,0.0,0.7081588018026519,0.0,1.0,60033.0,0.0,no,meaning
enda,vlastnej,4.0,0.6010559470998701,0.0822575135100202,0.879619650055479,163.0,72.0,yes,not_basic_form
juur,koreň,0.0,0.7224148888885773,0.0,1.0,29104.0,128780.0,yes,1
kuivõrd,nepochybné,2.0,0.6694753919881681,0.0147130416649159,0.978495629359943,3346.0,101438.0,no,meaning
õnnelik,štastný,2.0,0.7167524101674387,0.1247826625941073,0.8517201877461557,2381.0,251656.0,yes,1
eel,štvrtkových,2.0,0.6356224314839485,0.0598906998386923,0.9138899078371108,2558.0,106733.0,no,meaning
märkmed,denníky,4.0,0.6925623299689505,0.1190718948330665,0.8532936497815726,46834.0,0.0,no,meaning
tegelema,oboznamovať,3.0,0.6884176654931551,0.1565231762496702,0.8147525027588721,2658.0,817278.0,no,meaning
võimalik,neumožňuje,1.0,0.7015385805128105,0.1524467821460855,0.8214878277638855,135.0,2337813.0,no,antonymum
eesotsas,čele,0.0,0.7526529622208078,0.0,1.0,4345.0,0.0,no,meaning
nemad,iní,4.0,0.7559766118815945,0.0925166269284741,0.8909636250511318,1309.0,0.0,no,meaning
selge,jasný,4.0,0.6491068901160335,0.081137259790752,0.8888902296566031,643.0,764054.0,yes,1
dressid,tenisky,3.0,0.7517414452496249,0.0060653821722322,0.9919961368085488,76903.0,0.0,no,meaning
laekuma,preplatky,1.0,0.6536894990082522,0.0104126653341034,0.9843206875490086,36316.0,135172.0,no,meaning
põhi,dno,2.0,0.6082745173317967,0.0334315503041507,0.947902081669084,8120.0,317683.0,yes,1
laekuma,sumy,3.0,0.6327180687366605,0.0313840956056952,0.9527420669728216,36316.0,135172.0,no,meaning
pulmad,zásnuby,0.0,0.8718495264951935,0.0,1.0,19294.0,0.0,no,meaning
vuntsid,chlpaté,4.0,0.6752080761910527,0.0329507256115991,0.9534698636411472,60033.0,0.0,no,meaning
pood,obchodík,4.0,0.739580714211646,0.1028993042543946,0.8778614305396225,8431.0,513985.0,yes,1
õpingud,štúdium,0.0,0.7784377009706056,0.0,1.0,18935.0,3.0,yes,not_basic_form
ettevõtlus,podnikateľské,3.0,0.7372805308790962,0.0327109790131124,0.9575177406596448,19320.0,139413.0,no,pos_tag
demokraatia,demokracie,0.0,0.924343594129552,0.0,1.0,3374.0,110824.0,yes,not_basic_form
võimalik,potrebné,4.0,0.6665991689065851,0.1873861937523109,0.78057446655891,135.0,2337813.0,no,meaning
kilo,kilogramov,0.0,0.8193002231828426,0.0,1.0,3095.0,106652.0,yes,not_basic_form
pulmad,krstiny,4.0,0.7587618552349662,0.1130876712602273,0.8702899206531246,19294.0,0.0,no,meaning
sõbralik,milý,2.0,0.7360848295423026,0.0486615509841243,0.9379907289900706,4672.0,132673.0,no,meaning
selts,združenie,1.0,0.7479159281068164,0.0323241359471444,0.9585715506850608,13880.0,185095.0,yes,near_equivalent
vahendusel,on-line,4.0,0.607982808153917,0.1663175301502472,0.7852028186962853,2371.0,0.0,no,meaning
pidu,párty,0.0,0.7736118461931052,0.0,1.0,3266.0,237563.0,yes,1
õnnelik,zamilovaný,6.0,0.663629438728595,0.1923514347381612,0.7752853589366661,2381.0,251656.0,no,meaning
enese,pokora,2.0,0.663351799120339,0.0171052151234385,0.9748621665066554,2840.0,0.0,no,meaning
paiknema,nachádzať,0.0,0.7642070033646139,0.0,1.0,39885.0,116486.0,no,meaning
organism,zažívací,9.0,0.7550754563617876,0.1291068839253739,0.8539816075907566,6776.0,187605.0,no,meaning
ujumisriided,župany,5.0,0.7488021838797918,0.0192774404094817,0.974901768254405,132856.0,0.0,no,meaning
sisemine,emocionálny,9.0,0.640840659540811,0.1802117738215852,0.7805112481262895,7566.0,148597.0,no,meaning
olemasolu,neexistenciu,2.0,0.6429594069866187,0.0360601374405423,0.9468938151537836,1788.0,195567.0,no,antonymum
jälgima,dohliadať,5.0,0.7219484361587865,0.0948087321223714,0.883920538681168,6357.0,463215.0,no,meaning
küll,naozaj,7.0,0.6896877775762221,0.0243470303650964,0.9659021799857448,81.0,2924749.0,no,meaning
kiire,rýchly,0.0,0.8520692213061852,0.0,1.0,954.0,532068.0,yes,1
lastevanemad,vychovávatelia,2.0,0.7374338617118052,0.0469243281252762,0.940174873248888,86554.0,0.0,no,meaning
hindamine,hodnotenie,2.0,0.780289814918337,0.0641894777397895,0.923989281563384,6199.0,229765.0,yes,1
kanal,kanály,2.0,0.7235067903394194,0.1471008656207195,0.8310365586453623,10609.0,195056.0,yes,not_basic_form
vms,Prípadne,3.0,0.7179028630939294,0.0178483174967802,0.9757413675062668,1552.0,230297.0,no,shortcut
suhkur,sójová,8.0,0.8182482255547792,0.0835336306862439,0.9073682508600864,7490.0,157996.0,no,meaning
näpp,prstom,3.0,0.6795150335868119,0.0898979541477548,0.8831603370610531,50733.0,115253.0,yes,not_basic_form
vangist,popravu,8.0,0.6252769365097575,0.0977453070848886,0.8648100968527209,68059.0,0.0,no,meaning
Kalad,Váhy,4.0,0.6330300563188715,0.1009954282161651,0.8624088259276993,39667.0,4.0,no,meaning
lugu,pesnička,1.0,0.6723959013230849,0.0580275093956107,0.9205563395914228,502.0,1104562.0,yes,1
olud,poveternostné,1.0,0.7070625303713133,0.0214376701146413,0.9705728699863896,17371.0,0.0,no,meaning
sõbralik,zdvorilý,9.0,0.7339272293713016,0.1361582784861043,0.8435116120697201,4672.0,132673.0,no,meaning
küll,ozaj,0.0,0.7140348079413186,0.0,1.0,81.0,2924749.0,no,meaning
linn,župa,9.0,0.6985102001368115,0.2010141121909772,0.7765328747248721,1069.0,1549647.0,no,meaning
näpp,uško,2.0,0.7025206961375077,0.066892291597059,0.9130606154777626,50733.0,115253.0,no,meaning
lõplik,konečná,5.0,0.6816770454140642,0.1392326551768752,0.8303922403686456,6906.0,122888.0,yes,not_basic_form
dressid,trenírky,4.0,0.8080170179805123,0.0285765017774946,0.9658418322607129,76903.0,0.0,no,meaning
paiknema,umiestniť,1.0,0.6929726850903055,0.0712343182743083,0.9067866193836468,39885.0,116486.0,yes,1
selts,spolok,0.0,0.7701220681612876,0.0,1.0,13880.0,185095.0,yes,1
organism,tráviaca,2.0,0.7838274159971179,0.1003549242900436,0.886499741379758,6776.0,187605.0,no,meaning
sülle,vystrašene,7.0,0.687826016836316,0.0915129988627556,0.8825761356491719,8490.0,5.0,no,meaning
hommik,ranná,2.0,0.7393967208852985,0.0464002491026568,0.9409513514624928,8406.0,659630.0,no,pos_tag
jutumärgid,úvodzovky,0.0,0.8085356392318713,0.0,1.0,121976.0,0.0,yes,1
raadio,rádio,0.0,0.8574113348904568,0.0,1.0,5077.0,148117.0,yes,1
tüüp,pes,3.0,0.566516486149219,0.1782954309210304,0.7606168391849001,4986.0,374774.0,no,meaning
lugu,ságu,6.0,0.6151714698750663,0.1152519408436293,0.8422121482521653,502.0,1104562.0,no,meaning
põlema,rozsvietiť,6.0,0.7045881364302506,0.0548592326993305,0.92776427316852,4615.0,187965.0,no,meaning
organism,imunitný,7.0,0.7580669961902533,0.1261153440969082,0.8573650045352083,6776.0,187605.0,no,meaning
vangis,samotke,2.0,0.708508410494368,0.1007944733644757,0.8754551906649871,16294.0,5.0,no,meaning
jutumärgid,zátvorky,6.0,0.7077452680956784,0.1007903711361929,0.8753420798717714,121976.0,0.0,no,meaning
hetk,znenazdajky,9.0,0.6844406790632451,0.1645052073118433,0.8062241540338175,2329.0,1585458.0,no,meaning
raadio,rádiom,2.0,0.7469100531260195,0.1105012817644373,0.871122205564783,5077.0,148117.0,yes,not_basic_form
vms,alebo,1.0,0.7231003853608435,0.0126507952298661,0.9828056066186543,1552.0,230297.0,no,shortcut
samasugune,zvláštny,6.0,0.7348688615913626,0.0792793327581831,0.902622970475882,4134.0,232692.0,no,meaning
lastevanemad,Učitelia,7.0,0.7155054061962431,0.0688527836408383,0.9122176774170744,86554.0,0.0,no,meaning
olud,klíma,7.0,0.579868000341291,0.1486322001446636,0.795975073108399,17371.0,0.0,no,meaning
võimalik,potrebné,4.0,0.6517765086775628,0.1578178447776207,0.8050655317640416,135.0,2337813.0,no,meaning
hetk,chvíľku,6.0,0.7099624867220684,0.1389833996530201,0.8362870921650084,2329.0,1585458.0,yes,not_basic_form
märkmed,záznamy,8.0,0.6633801412946155,0.1378262993832212,0.8279765458867038,46834.0,0.0,no,meaning
organism,Organizmus,1.0,0.8225257095454344,0.0616566307417272,0.930267063780416,6776.0,187605.0,yes,1
linn,metropola,3.0,0.7236372854772551,0.1758870268505336,0.8044666225914748,1069.0,1549647.0,no,meaning
põhi,podkladový,5.0,0.6165995433659228,0.0896344198409302,0.8730811253625922,8120.0,317683.0,no,pos_tag
sisemine,hlbší,6.0,0.6593889570252087,0.1616634763371875,0.8031021287213791,7566.0,148597.0,no,meaning
laupäev,Pondelok,9.0,0.7701721773034851,0.1305707577694358,0.8550410414722095,14506.0,339416.0,no,meaning
püksid,slipy,9.0,0.8321194849622485,0.0645595184630255,0.9280015276186784,7469.0,0.0,no,meaning
jälgima,monitorovať,2.0,0.7526787499816393,0.0640784182995185,0.9215453248676472,6357.0,463215.0,yes,1
järgmine,ďalší,5.0,0.6647087942146439,0.1043760861609881,0.86428534895913,1080.0,1661707.0,yes,1
kuivõrd,nespochybniteľne,8.0,0.6719849735933443,0.0616849047066061,0.9159228059770675,3346.0,101438.0,no,meaning
miski,proste,7.0,0.5799544598610896,0.0788862746483757,0.8802650314159615,1625.0,3791215.0,no,meaning
kiire,Rýchly,4.0,0.7416151262428146,0.1104540950633706,0.8703695752628533,954.0,532068.0,yes,1
suhkur,cukor,0.0,0.9017818562410232,0.0,1.0,7490.0,157996.0,yes,1
ettevõte,podnik,1.0,0.7866398156862544,0.0631852148725924,0.9256491482357944,1543.0,1428160.0,yes,1
süles,postieľke,2.0,0.7505743286263273,0.0317235244609994,0.9594482787651748,10366.0,0.0,no,meaning
esindus,sekretariát,1.0,0.6668147213162936,0.0168679463710473,0.975327813372678,11812.0,104355.0,no,meaning
jutumärgid,slovné,5.0,0.7084037020975257,0.1001319371343456,0.8761564335871781,121976.0,0.0,no,meaning
